location_name,horizon,rate_quantile_0.025,rate_quantile_0.5,rate_quantile_0.975,count_quantile_0.025,count_quantile_0.5,count_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.5_rounded,rate_quantile_0.975_rounded,count_quantile_0.025_rounded,count_quantile_0.5_rounded,count_quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,0.7029480126213913,1.0330995511022198,1.4167767733471492,2346.79,3449,4729.905347515563,0.7,1.03,1.42,2300,3400,4700,wk inc covid hosp,hosp,2026-03-28,2026-03-28,2026-03-25,"March 28, 2026","March 25, 2026","March 28, 2026",CovidHub-ensemble
United States,1,0.5768492282341027,0.9609685444078162,1.5272025805239244,1925.809556355682,3208.190833232312,5098.5616,0.58,0.96,1.53,1900,3200,5100,wk inc covid hosp,hosp,2026-04-04,2026-03-28,2026-03-25,"April 04, 2026","March 25, 2026","March 28, 2026",CovidHub-ensemble
United States,2,0.5115653015359024,0.9400551322298896,1.8173085353393137,1707.8593472573775,3138.3714643973217,6067.0795294587415,0.51,0.94,1.82,1700,3100,6100,wk inc covid hosp,hosp,2026-04-11,2026-03-28,2026-03-25,"April 11, 2026","March 25, 2026","March 28, 2026",CovidHub-ensemble
United States,0,NA,NA,NA,0.00205339864947326,0.00296342791769757,0.00453846380790468,NA,NA,NA,0.0021,0.003,0.0045,wk inc covid prop ed visits,prop_ed,2026-03-28,2026-03-28,2026-03-25,"March 28, 2026","March 25, 2026","March 28, 2026",CovidHub-ensemble
United States,1,NA,NA,NA,0.00179173942959142,0.00280937066705958,0.00505388944011956,NA,NA,NA,0.0018,0.0028,0.0051,wk inc covid prop ed visits,prop_ed,2026-04-04,2026-03-28,2026-03-25,"April 04, 2026","March 25, 2026","March 28, 2026",CovidHub-ensemble
United States,2,NA,NA,NA,0.00142273002713428,0.00261196963764836,0.00512929788651877,NA,NA,NA,0.0014,0.0026,0.0051,wk inc covid prop ed visits,prop_ed,2026-04-11,2026-03-28,2026-03-25,"April 11, 2026","March 25, 2026","March 28, 2026",CovidHub-ensemble
Alabama,0,0.6266314405957646,1.1057005132492446,1.765024060178107,31.94166666666667,56.361546739166826,89.96964808413536,0.63,1.11,1.77,30,60,90,wk inc covid hosp,hosp,2026-03-28,2026-03-28,2026-03-25,"March 28, 2026","March 25, 2026","March 28, 2026",CovidHub-ensemble
Alabama,1,0.5078880795158297,1.0083649166696258,1.8158340829935915,25.88888888888889,51.4,92.55961837122298,0.51,1.01,1.82,30,50,90,wk inc covid hosp,hosp,2026-04-04,2026-03-28,2026-03-25,"April 04, 2026","March 25, 2026","March 28, 2026",CovidHub-ensemble
Alabama,2,0.36113221647243887,0.9239857089407072,1.8638431461556968,18.408212760901677,47.09888717311711,95.00681363331348,0.36,0.92,1.86,20,50,100,wk inc covid hosp,hosp,2026-04-11,2026-03-28,2026-03-25,"April 11, 2026","March 25, 2026","March 28, 2026",CovidHub-ensemble
Alabama,0,NA,NA,NA,0.00173502849379346,0.00275742535336651,0.00436532442335986,NA,NA,NA,0.0017,0.0028,0.0044,wk inc covid prop ed visits,prop_ed,2026-03-28,2026-03-28,2026-03-25,"March 28, 2026","March 25, 2026","March 28, 2026",CovidHub-ensemble
Alabama,1,NA,NA,NA,0.00136793695529977,0.0025266536391991,0.00477441873730064,NA,NA,NA,0.0014,0.0025,0.0048,wk inc covid prop ed visits,prop_ed,2026-04-04,2026-03-28,2026-03-25,"April 04, 2026","March 25, 2026","March 28, 2026",CovidHub-ensemble
Alabama,2,NA,NA,NA,0.00123024557882072,0.00236558949162542,0.00495133586547876,NA,NA,NA,0.0012,0.0024,0.005,wk inc covid prop ed visits,prop_ed,2026-04-11,2026-03-28,2026-03-25,"April 11, 2026","March 25, 2026","March 28, 2026",CovidHub-ensemble
