location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.10,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.90,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.10_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.90_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.10,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.90,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.10_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.90_rounded,rate_quantile_0.975_rounded,designated_model,ensemble_of_hub_models,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2026-06-27,2026-06-27,CEPH-Rtrend_covid,521,614,719,858,1020,1184,1376,520,610,720,860,1000,1200,1400,0.15437362799697363,0.1819297650482568,0.21304153268680234,0.2542275869892579,0.3022285999172996,0.35082221794321833,0.4077123073394159,0.15,0.18,0.21,0.25,0.3,0.35,0.41,TRUE,FALSE,CEPH Lab at Indiana University,2026-06-24,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2026-06-27,2026-07-04,CEPH-Rtrend_covid,345,462,612,836,1137,1490,1946,350,460,610,840,1100,1500,1900,0.10222437938379252,0.1368917776096004,0.18133715995037974,0.24770893091261026,0.3368959981431075,0.44149079791840823,0.5766047602343775,0.1,0.14,0.18,0.25,0.34,0.44,0.58,TRUE,FALSE,CEPH Lab at Indiana University,2026-06-24,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2026-06-27,2026-07-11,CEPH-Rtrend_covid,231,348,517,806,1244,1817,2628,230,350,520,810,1200,1800,2600,0.0684458888048002,0.10311328703060811,0.1531884178012195,0.23881985444445436,0.36860037087953007,0.5383817314213072,0.7786830986104543,0.07,0.1,0.15,0.24,0.37,0.54,0.78,TRUE,FALSE,CEPH Lab at Indiana University,2026-06-24,Rtrend COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-06-27,2026-06-27,CFA_Pyrenew-Pyrenew_E_COVID,9.272034287409163e-4,9.647301466514381e-4,0.0010061612275287317,0.0010576042973246364,0.001112516685994509,0.0011683941605069093,0.0012391313929529452,0.00093000000000000005,9.6e-4,0.001,0.0011,0.0011,0.0012,0.0012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-06-24,Pyrenew_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-06-27,2026-07-04,CFA_Pyrenew-Pyrenew_E_COVID,8.359829941339592e-4,9.457315220370956e-4,0.001054380476801219,0.0011896100316363995,0.0013890318035807104,0.0016358883211546396,0.002073299071025291,8.4e-4,9.5e-4,0.0011,0.0012,0.0014,0.0016,0.0021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-06-24,Pyrenew_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-06-27,2026-07-04,CFA_Pyrenew-Pyrenew_HE_COVID,8.202047554620015e-4,8.972086640237519e-4,9.75753017814068e-4,0.0010874537699659653,0.0012343406755438544,0.0014269087374893627,0.0016608146581543579,8.2e-4,9e-4,9.8e-4,0.0011,0.0012,0.0014,0.0017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-06-24,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2026-06-27,2026-06-27,CFA_Pyrenew-Pyrenew_HE_COVID,737.95,833,921,1031,1157,1284.1000000000001,1440.0249999999999,740,830,920,1000,1200,1300,1400,0.2186564659891875,0.24682002326579466,0.27289464757238524,0.3054879279556234,0.342822049121878,0.3804821030919651,0.4266830780352052,0.22,0.25,0.27,0.31,0.34,0.38,0.43,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-06-24,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid hosp,hosp,2026-06-27,2026-07-04,CFA_Pyrenew-Pyrenew_HE_COVID,712,841,954.75,1113,1348,1597,1957.2499999999986,710,840,950,1100,1300,1600,2000,0.21096741484423268,0.2491904436573029,0.28289485859906055,0.3297847369685828,0.3994158359691371,0.4731951706548308,0.5799381639099355,0.21,0.25,0.28,0.33,0.4,0.47,0.58,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-06-24,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-06-27,2026-06-27,CFA_Pyrenew-Pyrenew_HE_COVID,9.031298074637001e-4,9.410261838795132e-4,9.76064336466939e-4,0.0010170927251098578,0.0010665596660824033,0.0011133045586178988,0.0011667882134683294,9e-4,9.4e-4,9.8e-4,0.001,0.0011,0.0011,0.0012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-06-24,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2026-06-27,2026-06-27,CFA_Pyrenew-Pyrenew_H_COVID,508.975,581,649,726,810.5,908.1000000000001,1024,510,580,650,730,810,910,1000,0.1508105898459878,0.17215178093328534,0.19230035426110534,0.21511565052937204,0.24015321591467778,0.2690723446910782,0.3034138101130537,0.15,0.17,0.19,0.22,0.24,0.27,0.3,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-06-24,Pyrenew_Hospital_Admissions_COVID
United States,US,1,wk inc covid hosp,hosp,2026-06-27,2026-07-04,CFA_Pyrenew-Pyrenew_H_COVID,322.975,420.9,516,639.5,791,958.2000000000003,1291.0749999999996,320,420,520,640,790,960,1300,0.09569831574342141,0.12471374284822685,0.15289211525228097,0.1894854800461893,0.23437531621037647,0.2839171023928986,0.3825488133708112,0.1,0.12,0.15,0.19,0.23,0.28,0.38,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-06-24,Pyrenew_Hospital_Admissions_COVID
United States,US,0,wk inc covid hosp,hosp,2026-06-27,2026-06-27,CMU-TimeSeries,96.34198789365826,338.8607097986208,552.9630395865789,796.8312060894644,1204.120273854256,1733.4084130528515,2814.641482904722,100,340,550,800,1200,1700,2800,0.028546376582695845,0.10040529204845051,0.16384435809830006,0.23610311743807064,0.35678390637157564,0.5136133311390504,0.8339854457327903,0.03,0.1,0.16,0.24,0.36,0.51,0.83,TRUE,FALSE,Carnegie Mellon Delphi Group,2026-06-24,AR ensemble with auxiliary data
United States,US,1,wk inc covid hosp,hosp,2026-06-27,2026-07-04,CMU-TimeSeries,72.2315881282378,245.3151798210519,511.26955495308033,722.6835710413543,1078.782458270657,1650.4772676916623,2698.8317565857524,70,250,510,720,1100,1700,2700,0.021402403676274852,0.07268751307429128,0.15149047232726504,0.21413298417555177,0.31964599213576794,0.48904062138213844,0.799670728632606,0.02,0.07,0.15,0.21,0.32,0.49,0.8,TRUE,FALSE,Carnegie Mellon Delphi Group,2026-06-24,AR ensemble with auxiliary data
United States,US,2,wk inc covid hosp,hosp,2026-06-27,2026-07-11,CMU-TimeSeries,81.84637705107194,267.84555595653404,397.498368658821,648.4235832930025,1028.573500252268,1641.2433636689143,2860.033002196826,80,270,400,650,1000,1600,2900,0.02425129014161654,0.07936332095177843,0.11777977983251575,0.1921295605215712,0.30476894989537173,0.48630459208354443,0.8474350685992331,0.02,0.08,0.12,0.19,0.3,0.49,0.85,TRUE,FALSE,Carnegie Mellon Delphi Group,2026-06-24,AR ensemble with auxiliary data
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-06-27,2026-06-27,CMU-TimeSeries,4.1396567117259496e-4,5.839056395199608e-4,7.226750892495825e-4,8.634568698020383e-4,0.0010319333983789857,0.0012587528732228388,0.001646890320243933,4.1e-4,5.8e-4,7.2e-4,8.6e-4,0.001,0.0013,0.0016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Carnegie Mellon Delphi Group,2026-06-24,AR ensemble with auxiliary data
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-06-27,2026-07-04,CMU-TimeSeries,3.234304303697972e-4,5.224001664757096e-4,6.645488794740532e-4,8.352510830628468e-4,0.0010945477983180854,0.0014156836469632408,0.0018651876287284562,3.2e-4,5.2e-4,6.6e-4,8.4e-4,0.0011,0.0014,0.0019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Carnegie Mellon Delphi Group,2026-06-24,AR ensemble with auxiliary data
United States,US,2,wk inc covid prop ed visits,prop_ed,2026-06-27,2026-07-11,CMU-TimeSeries,2.9510215981530465e-4,4.5049985968723593e-4,6.085627536016867e-4,8.106787008757645e-4,0.0011507284682090425,0.0016735310650911018,0.002396761062700624,3e-4,4.5e-4,6.1e-4,8.1e-4,0.0012,0.0017,0.0024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Carnegie Mellon Delphi Group,2026-06-24,AR ensemble with auxiliary data
