week_ending_date,location,location_name,target,target_data_type,count_value,rate_value
2020-08-08,02,Alaska,wk inc covid hosp,hosp,49,6.88
2020-08-08,01,Alabama,wk inc covid hosp,hosp,1742,34.14
2020-08-08,05,Arkansas,wk inc covid hosp,hosp,444,14.46
2020-08-08,04,Arizona,wk inc covid hosp,hosp,1658,22.36
2020-08-08,06,California,wk inc covid hosp,hosp,4836,12.45
2020-08-08,08,Colorado,wk inc covid hosp,hosp,316,5.41
2020-08-08,09,Connecticut,wk inc covid hosp,hosp,101,2.8
2020-08-08,11,District of Columbia,wk inc covid hosp,hosp,101,14.95
2020-08-08,10,Delaware,wk inc covid hosp,hosp,7,0.68
2020-08-08,12,Florida,wk inc covid hosp,hosp,6733,29.75
2020-08-08,13,Georgia,wk inc covid hosp,hosp,1316,11.99
2020-08-08,15,Hawaii,wk inc covid hosp,hosp,218,15.63
2020-08-08,19,Iowa,wk inc covid hosp,hosp,366,11.41
2020-08-08,16,Idaho,wk inc covid hosp,hosp,145,7.39
2020-08-08,17,Illinois,wk inc covid hosp,hosp,633,4.98
2020-08-08,18,Indiana,wk inc covid hosp,hosp,407,5.93
2020-08-08,20,Kansas,wk inc covid hosp,hosp,166,5.68
2020-08-08,21,Kentucky,wk inc covid hosp,hosp,1090,24.17
2020-08-08,22,Louisiana,wk inc covid hosp,hosp,1476,32.38
2020-08-08,25,Massachusetts,wk inc covid hosp,hosp,171,2.47
2020-08-08,24,Maryland,wk inc covid hosp,hosp,387,6.29
2020-08-08,23,Maine,wk inc covid hosp,hosp,11,0.79
2020-08-08,26,Michigan,wk inc covid hosp,hosp,242,2.41
2020-08-08,27,Minnesota,wk inc covid hosp,hosp,136,2.37
2020-08-08,29,Missouri,wk inc covid hosp,hosp,427,6.91
2020-08-08,28,Mississippi,wk inc covid hosp,hosp,766,26.17
2020-08-08,30,Montana,wk inc covid hosp,hosp,88,7.79
2020-08-08,37,North Carolina,wk inc covid hosp,hosp,1008,9.62
2020-08-08,38,North Dakota,wk inc covid hosp,hosp,96,12.36
2020-08-08,31,Nebraska,wk inc covid hosp,hosp,69,3.5
2020-08-08,33,New Hampshire,wk inc covid hosp,hosp,12,0.86
2020-08-08,34,New Jersey,wk inc covid hosp,hosp,180,1.94
2020-08-08,35,New Mexico,wk inc covid hosp,hosp,60,2.86
2020-08-08,32,Nevada,wk inc covid hosp,hosp,760,23.88
2020-08-08,36,New York,wk inc covid hosp,hosp,517,2.64
2020-08-08,39,Ohio,wk inc covid hosp,hosp,449,3.81
2020-08-08,40,Oklahoma,wk inc covid hosp,hosp,349,8.65
2020-08-08,41,Oregon,wk inc covid hosp,hosp,89,2.1
2020-08-08,42,Pennsylvania,wk inc covid hosp,hosp,626,4.75
2020-08-08,72,Puerto Rico,wk inc covid hosp,hosp,182,5.54
2020-08-08,44,Rhode Island,wk inc covid hosp,hosp,47,4.3
2020-08-08,45,South Carolina,wk inc covid hosp,hosp,943,17.67
2020-08-08,46,South Dakota,wk inc covid hosp,hosp,47,5.13
2020-08-08,47,Tennessee,wk inc covid hosp,hosp,1402,19.73
