location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2025-09-06,2025-09-06,CEPH-Rtrend_covid,8436,9723,10528,11395,13076,8400,9700,10500,11400,13100,2.5268854198603443,2.9123882097323524,3.1535146633818996,3.41321234700197,3.9167323079769867,2.52,2.91,3.15,3.41,3.92,CEPH Lab at Indiana University,2025-09-03,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2025-09-06,2025-09-13,CEPH-Rtrend_covid,7832,10060,11580,13301,16926,7800,10100,11600,13300,16900,2.3459656956313673,3.013331830701169,3.468626500946276,3.984127900611953,5.069945781953081,2.34,3.03,3.47,3.98,5.06,CEPH Lab at Indiana University,2025-09-03,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2025-09-06,2025-09-20,CEPH-Rtrend_covid,7171,10138,12308,14872,20541,7200,10100,12300,14900,20500,2.147972421268199,3.0366956361479573,3.686688685116301,4.454698905187652,6.152768303621542,2.16,3.03,3.68,4.46,6.14,CEPH Lab at Indiana University,2025-09-03,Rtrend COVID
United States,US,0,wk inc covid hosp,hosp,2025-09-06,2025-09-06,CFA-EpiAutoGP,5498.2666,8018.4327,9805.5249,11985.402,17667.908,5500,8000,9800,12000,17700,1.6469286043201883,2.4018089947559758,2.9371073854774252,3.590058981148057,5.292173912355848,1.65,2.4,2.94,3.59,5.3,Center for Forecasting and Outbreak Analytics (CFA/CDC),2025-09-03,EpiAutoGP
United States,US,1,wk inc covid hosp,hosp,2025-09-06,2025-09-13,CFA-EpiAutoGP,4036.9688,7136.3669,9555.8661,12650.393,22494.214,4000,7100,9600,12700,22500,1.2092173543327536,2.137598562160261,2.862325595332827,3.789247703556586,6.737826148390047,1.2,2.13,2.88,3.8,6.74,Center for Forecasting and Outbreak Analytics (CFA/CDC),2025-09-03,EpiAutoGP
United States,US,2,wk inc covid hosp,hosp,2025-09-06,2025-09-20,CFA-EpiAutoGP,3051.2826,6263.6291,9064.1924,12766.378,26142.865,3100,6300,9100,12800,26100,0.9139688849944954,1.8761822010672085,2.7150516380238194,3.8239893827199927,7.830728354892994,0.93,1.89,2.73,3.83,7.82,Center for Forecasting and Outbreak Analytics (CFA/CDC),2025-09-03,EpiAutoGP
United States,US,0,wk inc covid prop ed visits,prop_ed,2025-09-06,2025-09-06,CFA_Pyrenew-Pyrenew_E_COVID,0.01272631183547639,0.01331387882922041,0.0136318387395655,0.01397426034576704,0.01465524562788909,0.013,0.013,0.014,0.014,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-09-03,Pyrenew_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2025-09-06,2025-09-13,CFA_Pyrenew-Pyrenew_E_COVID,0.00929530263868905,0.01096515415196001,0.01208584441233601,0.01336424606215427,0.0162789346163165,0.0093,0.011,0.012,0.013,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-09-03,Pyrenew_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2025-09-06,2025-09-06,CFA_Pyrenew-Pyrenew_HE_COVID,10583.975,11865,12534.5,13285.5,15079.299999999996,10600,11900,12500,13300,15100,3.1702811891496423,3.553994251617233,3.7545335817021672,3.9794850931193224,4.516792711202,3.18,3.56,3.74,3.98,4.52,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-09-03,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2025-09-06,2025-09-06,CFA_Pyrenew-Pyrenew_HE_COVID,0.01263302324797728,0.01330329303475753,0.01366196473990533,0.01403060983082605,0.01486204854197035,0.013,0.013,0.014,0.014,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-09-03,Pyrenew_Hospital_Admissions_ED_Visits_COVID
