location_name,horizon,rate_quantile_0.025,rate_quantile_0.5,rate_quantile_0.975,count_quantile_0.025,count_quantile_0.5,count_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.5_rounded,rate_quantile_0.975_rounded,count_quantile_0.025_rounded,count_quantile_0.5_rounded,count_quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,0.29500205055273043,0.48261167627789464,0.7860217356499168,995.610910569425,1628.78003583431,2652.7673773504566,0.3,0.48,0.79,1000,1600,2700,wk inc covid hosp,hosp,2026-08-01,2026-08-01,2026-07-29,"August 01, 2026","July 29, 2026","August 01, 2026",CovidHub-ensemble
United States,1,0.27741993316226105,0.5592984703989621,0.9772058063992686,936.2725165749912,1887.5925043594352,3298,0.28,0.56,0.98,940,1900,3300,wk inc covid hosp,hosp,2026-08-08,2026-08-01,2026-07-29,"August 08, 2026","July 29, 2026","August 01, 2026",CovidHub-ensemble
United States,2,0.24440452407349628,0.6369776226915101,1.1897715426918105,824.8478622578455,2149.7541110375587,4015.3942210555897,0.24,0.64,1.19,820,2100,4000,wk inc covid hosp,hosp,2026-08-15,2026-08-01,2026-07-29,"August 15, 2026","July 29, 2026","August 01, 2026",CovidHub-ensemble
United States,0,NA,NA,NA,0.00129388053054627,0.00244987320021718,0.00343429013804641,NA,NA,NA,0.0013,0.0024,0.0034,wk inc covid prop ed visits,prop_ed,2026-08-01,2026-08-01,2026-07-29,"August 01, 2026","July 29, 2026","August 01, 2026",CovidHub-ensemble
United States,1,NA,NA,NA,0.00154782082911897,0.00296070977322406,0.00466538489439864,NA,NA,NA,0.0015,0.003,0.0047,wk inc covid prop ed visits,prop_ed,2026-08-08,2026-08-01,2026-07-29,"August 08, 2026","July 29, 2026","August 01, 2026",CovidHub-ensemble
United States,2,NA,NA,NA,0.00134952416299435,0.00290128952539793,0.00581554609316585,NA,NA,NA,0.0013,0.0029,0.0058,wk inc covid prop ed visits,prop_ed,2026-08-15,2026-08-01,2026-07-29,"August 15, 2026","July 29, 2026","August 01, 2026",CovidHub-ensemble
Alabama,0,0.493937099459277,0.8497972949577213,1.4833804034927673,25.177757072368397,43.31723589222985,75.61325416928297,0.49,0.85,1.48,30,40,80,wk inc covid hosp,hosp,2026-08-01,2026-08-01,2026-07-29,"August 01, 2026","July 29, 2026","August 01, 2026",CovidHub-ensemble
Alabama,1,0.45317095733795953,0.9118951360420227,1.8709827585276384,23.09975964267179,46.48258702550301,95.37074544991202,0.45,0.91,1.87,20,50,100,wk inc covid hosp,hosp,2026-08-08,2026-08-01,2026-07-29,"August 08, 2026","July 29, 2026","August 01, 2026",CovidHub-ensemble
Alabama,2,0.3727418952669823,0.9598526684345254,2.230021028964247,19,48.92715557824081,113.67222222222222,0.37,0.96,2.23,20,50,110,wk inc covid hosp,hosp,2026-08-15,2026-08-01,2026-07-29,"August 15, 2026","July 29, 2026","August 01, 2026",CovidHub-ensemble
Alabama,0,NA,NA,NA,0.00155089106631484,0.00283790206590337,0.00457742977882365,NA,NA,NA,0.0016,0.0028,0.0046,wk inc covid prop ed visits,prop_ed,2026-08-01,2026-08-01,2026-07-29,"August 01, 2026","July 29, 2026","August 01, 2026",CovidHub-ensemble
