location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2025-04-05,2025-04-05,CEPH-Rtrend_covid,4803,6013,6789,7658,9437,4800,6000,6800,7700,9400,1.438671250781085,1.8011097711735713,2.0335496817723895,2.293846437326993,2.8267209230941286,1.44,1.8,2.04,2.31,2.82,CEPH Lab at Indiana University,2025-04-02,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2025-04-05,2025-04-12,CEPH-Rtrend_covid,3287,4839,5965,7309,10365,3300,4800,6000,7300,10400,0.9845747244050439,1.4494545456026795,1.7867320447447785,2.1893083847509787,3.104690300717457,0.99,1.44,1.8,2.19,3.12,CEPH Lab at Indiana University,2025-04-02,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2025-04-05,2025-04-19,CEPH-Rtrend_covid,2238,3805,5049,6638,10480,2200,3800,5000,6600,10500,0.6703614947424669,1.1397343554491002,1.5123570987286483,1.988319750715145,3.139136936953107,0.66,1.14,1.5,1.98,3.15,CEPH Lab at Indiana University,2025-04-02,Rtrend COVID
United States,US,0,wk inc covid hosp,hosp,2025-04-05,2025-04-05,CFA_Pyrenew-Pyrenew_HE_COVID,5979,6270,6421,6573.25,6918.025,6000,6300,6400,6600,6900,1.7909255482865098,1.8780905147610665,1.9233204458183109,1.9689247968346382,2.072197309948952,1.8,1.89,1.92,1.98,2.07,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-04-02,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid hosp,hosp,2025-04-05,2025-04-12,CFA_Pyrenew-Pyrenew_HE_COVID,4593.9000000000005,5119,5409.5,5714.5,6518.049999999999,4600,5100,5400,5700,6500,1.3760382800256563,1.5333246164373044,1.6203398149282278,1.7116982849445157,1.952390411441526,1.38,1.53,1.62,1.71,1.95,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-04-02,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2025-04-05,2025-04-05,CFA_Pyrenew-Pyrenew_H_COVID,5063.9749999999995,5903.75,6366.5,6867,8083.4249999999965,5100,5900,6400,6900,8100,1.5168426498384644,1.7683854667497045,1.9069957356022857,2.0569134872191777,2.4212765262013507,1.53,1.77,1.92,2.07,2.43,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-04-02,Pyrenew_Hospital_Admissions_COVID
United States,US,1,wk inc covid hosp,hosp,2025-04-05,2025-04-12,CFA_Pyrenew-Pyrenew_H_COVID,3269.95,4703.25,5628,6533,9346.35,3300,4700,5600,6500,9300,0.9794676361631498,1.4087925380462498,1.685788423775962,1.9568684741521607,2.7995679876614186,0.99,1.41,1.68,1.95,2.79,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-04-02,Pyrenew_Hospital_Admissions_COVID
United States,US,0,wk inc covid hosp,hosp,2025-04-05,2025-04-05,CMU-TimeSeries,3757.3463202327,5922.354639187878,6888.904787012594,8360.425616572613,13053.819774407417,3800,5900,6900,8400,13100,1.1254603643861931,1.77395822534449,2.063474758784762,2.504248173819851,3.910088532649923,1.14,1.77,2.07,2.52,3.92,Carnegie Mellon Delphi Group,2025-04-02,AR ensemble with auxiliary data
United States,US,1,wk inc covid hosp,hosp,2025-04-05,2025-04-12,CMU-TimeSeries,2742.446238695643,5394.745079662442,6626.631120409116,8749.31356408763,16293.70702451659,2700,5400,6600,8700,16300,0.821461286784123,1.615920185592977,1.984914362370153,2.6207341013370526,4.880551293945833,0.81,1.62,1.98,2.61,4.88,Carnegie Mellon Delphi Group,2025-04-02,AR ensemble with auxiliary data
United States,US,2,wk inc covid hosp,hosp,2025-04-05,2025-04-19,CMU-TimeSeries,1959.6590912817944,5085.555223006473,6501.197669772214,9187.663001475908,19228.007052606554,2000,5100,6500,9200,19200,0.5869883814197177,1.5233067028105356,1.9473425324060516,2.7520355240658843,5.75947969110993,0.6,1.53,1.95,2.76,5.75,Carnegie Mellon Delphi Group,2025-04-02,AR ensemble with auxiliary data
United States,US,0,wk inc covid hosp,hosp,2025-04-05,2025-04-05,CMU-climate_baseline,4583.418606822272,7358.757848452733,9761.728306097297,13722.684072821614,21829.278384355828,4600,7400,9800,13700,21800,1.3728987257818646,2.204212650016369,2.9239887303598,4.11043744724546,6.538654015588112,1.38,2.22,2.94,4.1,6.53,Carnegie Mellon Delphi Group,2025-04-02,climatological baseline
United States,US,1,wk inc covid hosp,hosp,2025-04-05,2025-04-12,CMU-climate_baseline,3159.8932440206027,6607.871719435743,9024.067156837556,12331.290757663246,20270.919626223156,3200,6600,9000,12300,20300,0.946501679306646,1.9792952470542533,2.7030326845013524,3.6936651047413314,6.071869517622592,0.96,1.98,2.7,3.68,6.08,Carnegie Mellon Delphi Group,2025-04-02,climatological baseline
United States,US,2,wk inc covid hosp,hosp,2025-04-05,2025-04-19,CMU-climate_baseline,1975.6172495673147,6238.365536542085,8577.408502903225,11054.5053841171,18586.179934071675,2000,6200,8600,11100,18600,0.5917684237975631,1.8686148551502426,2.569242352557172,3.311221962884444,5.567229384341703,0.6,1.86,2.58,3.32,5.57,Carnegie Mellon Delphi Group,2025-04-02,climatological baseline
United States,US,0,wk inc covid hosp,hosp,2025-04-05,2025-04-05,CovidHub-baseline,3963.65,6288,7265,8242,10566.35,4000,6300,7300,8200,10600,1.1872557366559333,1.8834821621718638,2.1761288021912515,2.4687754422106396,3.1650018677265703,1.2,1.89,2.19,2.46,3.18,CovidHub-hub-models,2025-04-02,CovidHub baseline model
United States,US,1,wk inc covid hosp,hosp,2025-04-05,2025-04-12,CovidHub-baseline,2884.7391143911423,6054.616491164912,7265,8476.10519605196,11650.04493594936,2900,6100,7300,8500,11700,0.8640831209407087,1.8135754071088919,2.1761288021912515,2.5388983685521813,3.4896074785879887,0.87,1.83,2.19,2.55,3.5,CovidHub-hub-models,2025-04-02,CovidHub baseline model
United States,US,2,wk inc covid hosp,hosp,2025-04-05,2025-04-19,CovidHub-baseline,2145.3196404464047,5672.984384843849,7265,8833.670686706868,12386.732193321934,2100,5700,7300,8800,12400,0.642600393596972,1.6992628650020534,2.1761288021912515,2.646002093656626,3.7102718087980007,0.63,1.71,2.19,2.64,3.71,CovidHub-hub-models,2025-04-02,CovidHub baseline model
