location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.10,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.90,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.10_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.90_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.10,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.90,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.10_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.90_rounded,rate_quantile_0.975_rounded,designated_model,ensemble_of_hub_models,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2025-07-19,2025-07-19,CEPH-Rtrend_covid,3000,3268,3555,3909,4297,4668,5080,3000,3300,3600,3900,4300,4700,5100,0.8889076468155871,0.9683167299311128,1.0533555614764707,1.1582466638007098,1.273212052788859,1.3831402984450534,1.5052169486077274,0.89,0.97,1.05,1.16,1.27,1.38,1.51,TRUE,FALSE,CEPH Lab at Indiana University,2025-07-16,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2025-07-19,2025-07-26,CEPH-Rtrend_covid,2532,2922,3375,3972,4678,5392,6229,2500,2900,3400,4000,4700,5400,6200,0.7502380539123554,0.8657960479983818,1.0000211026675354,1.1769137243838372,1.3861033239344387,1.5976633438765484,1.845668577338097,0.75,0.87,1,1.18,1.39,1.6,1.85,TRUE,FALSE,CEPH Lab at Indiana University,2025-07-16,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2025-07-19,2025-08-02,CEPH-Rtrend_covid,2165,2623,3187,3969,4931,5958,7181,2200,2600,3200,4000,4900,6000,7200,0.6414950184519154,0.7772015858657616,0.9443162234670919,1.1760248167370217,1.4610678688158865,1.765370586575756,2.127748603927577,0.64,0.78,0.94,1.18,1.46,1.77,2.13,TRUE,FALSE,CEPH Lab at Indiana University,2025-07-16,Rtrend COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2025-07-19,2025-07-19,CFA_Pyrenew-Pyrenew_E_COVID,0.005289902352681701,0.005453317218179639,0.005591347953662848,0.00574684562703866,0.005908471673710279,0.006050817917259994,0.006220737385696456,0.0053,0.0055,0.0056,0.0057,0.0059,0.0061,0.0062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-07-16,Pyrenew_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2025-07-19,2025-07-26,CFA_Pyrenew-Pyrenew_E_COVID,0.0045535863871565396,0.0051269581393341614,0.0056080152629915305,0.006181066716548524,0.006795646865786121,0.007497946654297637,0.008331014359501789,0.0046,0.0051,0.0056,0.0062,0.0068,0.0075,0.0083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-07-16,Pyrenew_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2025-07-19,2025-07-19,CFA_Pyrenew-Pyrenew_HE_COVID,4142,4295,4433,4591,4756,4916,5130.0250000000005,4100,4300,4400,4600,4800,4900,5100,1.2272851577033872,1.272619447690982,1.3135091994444992,1.3603250021767865,1.409214922751644,1.4566233305818086,1.5200394836183775,1.23,1.27,1.31,1.36,1.41,1.46,1.52,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-07-16,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2025-07-19,2025-07-19,CFA_Pyrenew-Pyrenew_HE_COVID,0.00524917797702523,0.00540874882462129,0.00556983662024643,0.00573246796709727,0.00592101446477463,0.0060873755255038,0.00629765469275806,0.0052,0.0054,0.0056,0.0057,0.0059,0.0061,0.0063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-07-16,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid hosp,hosp,2025-07-19,2025-07-26,CFA_Pyrenew-Pyrenew_HE_COVID,4383.95,4595.9,4805.75,5045,5287,5548,5956,4400,4600,4800,5000,5300,5500,6000,1.2989755594190642,1.3617768846665852,1.423955974561336,1.4948463593948789,1.566551576238003,1.6438865415109591,1.7647779814778786,1.3,1.36,1.42,1.49,1.57,1.64,1.76,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-07-16,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2025-07-19,2025-07-26,CFA_Pyrenew-Pyrenew_HE_COVID,0.0043963102782672,0.00494545979139026,0.00546837281606562,0.00611278022820039,0.006813886766219,0.00756427050178891,0.00856354597525202,0.0044,0.0049,0.0055,0.0061,0.0068,0.0076,0.0086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-07-16,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2025-07-19,2025-07-19,CFA_Pyrenew-Pyrenew_H_COVID,3376.9,3569.9,3738,3980,4307.25,4589,4759,3400,3600,3700,4000,4300,4600,4800,1.0005840775105186,1.0577704694556547,1.1075789279322215,1.1792841447753455,1.2762491539154792,1.3597323970789097,1.4101038303984594,1,1.06,1.11,1.18,1.28,1.36,1.41,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-07-16,Pyrenew_Hospital_Admissions_COVID
