location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-03-14,2026-03-14,CMU-TimeSeries,0.0030988601711898545,0.0039430868551549,0.0043576126803820964,0.004837682223816468,0.006376311762614339,0.0031,0.0039,0.0044,0.0048,0.0064,Carnegie Mellon Delphi Group,2026-03-11,AR ensemble with auxiliary data
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-03-14,2026-03-21,CMU-TimeSeries,0.002744543418406399,0.0036091823481930003,0.004179270033754898,0.0049734818269735635,0.007238534195438056,0.0027,0.0036,0.0042,0.005,0.0072,Carnegie Mellon Delphi Group,2026-03-11,AR ensemble with auxiliary data
United States,US,2,wk inc covid prop ed visits,prop_ed,2026-03-14,2026-03-28,CMU-TimeSeries,0.0024109942137562164,0.0033635569881386184,0.0041133386743569395,0.005165390554501797,0.008334108542046836,0.0024,0.0034,0.0041,0.0052,0.0083,Carnegie Mellon Delphi Group,2026-03-11,AR ensemble with auxiliary data
United States,US,0,wk inc covid hosp,hosp,2026-03-14,2026-03-14,CovidHub-baseline,2593.9,3917,4523,5129,6452.099999999998,2600,3900,4500,5100,6500,CovidHub-hub-models,2026-03-11,CovidHub baseline model
United States,US,1,wk inc covid hosp,hosp,2026-03-14,2026-03-21,CovidHub-baseline,1469.2067578175781,3644.694814448145,4523,5396.025077750777,7568.2321720717255,1500,3600,4500,5400,7600,CovidHub-hub-models,2026-03-11,CovidHub baseline model
United States,US,2,wk inc covid hosp,hosp,2026-03-14,2026-03-28,CovidHub-baseline,850.6281540315402,3417.393093930939,4523,5632.523630236301,8212.080492054925,850,3400,4500,5600,8200,CovidHub-hub-models,2026-03-11,CovidHub baseline model
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-03-14,2026-03-14,CovidHub-baseline,8.000000000000021e-4,0.0038000000000000004,0.0046,0.005399999999999999,0.008399999999999998,8e-4,0.0038,0.0046,0.0054,0.0084,CovidHub-hub-models,2026-03-11,CovidHub baseline model
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-03-14,2026-03-21,CovidHub-baseline,0,0.003002612276122761,0.0046,0.006199999999999999,0.00992755422554225,0,0.003,0.0046,0.0062,0.0099,CovidHub-hub-models,2026-03-11,CovidHub baseline model
United States,US,2,wk inc covid prop ed visits,prop_ed,2026-03-14,2026-03-28,CovidHub-baseline,0,0.002592172171721718,0.0046,0.006611760117601177,0.011000000000000003,0,0.0026,0.0046,0.0066,0.011,CovidHub-hub-models,2026-03-11,CovidHub baseline model
United States,US,0,wk inc covid hosp,hosp,2026-03-14,2026-03-14,CovidHub-ensemble,3147.5783086372708,3988,4396.5996000000005,4883.92,5954.59,3100,4000,4400,4900,6000,CovidHub,2026-03-11,Ensemble model using CovidHub submissions
United States,US,1,wk inc covid hosp,hosp,2026-03-14,2026-03-21,CovidHub-ensemble,2767.1499398488354,3566.0948,4096,4713.25,6516.124999999999,2800,3600,4100,4700,6500,CovidHub,2026-03-11,Ensemble model using CovidHub submissions
United States,US,2,wk inc covid hosp,hosp,2026-03-14,2026-03-28,CovidHub-ensemble,2177.6055238014997,3110.1961499999998,3762.47785,4587.077165637216,7023.09138571617,2200,3100,3800,4600,7000,CovidHub,2026-03-11,Ensemble model using CovidHub submissions
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-03-14,2026-03-14,CovidHub-ensemble,0.0030988601711898545,0.0039430868551549,0.004300739313864982,0.004796179429607718,0.006192501361649342,0.0031,0.0039,0.0043,0.0048,0.0062,CovidHub,2026-03-11,Ensemble model using CovidHub submissions
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-03-14,2026-03-21,CovidHub-ensemble,0.0023803844780674183,0.003362596937184276,0.004002720655025817,0.004851529688285747,0.007238534195438056,0.0024,0.0034,0.004,0.0049,0.0072,CovidHub,2026-03-11,Ensemble model using CovidHub submissions
United States,US,2,wk inc covid prop ed visits,prop_ed,2026-03-14,2026-03-28,CovidHub-ensemble,0.0021050370392774447,0.003060957126665092,0.0037377300124574403,0.004635650755887517,0.007133693200249104,0.0021,0.0031,0.0037,0.0046,0.0071,CovidHub,2026-03-11,Ensemble model using CovidHub submissions
United States,US,0,wk inc covid hosp,hosp,2026-03-14,2026-03-14,OHT_JHU-nbxd,3106.19,3906.22,4376.87,4883.92,5954.59,3100,3900,4400,4900,6000,One Health Trust and Johns Hopkins University,2026-03-11,NBEATS exogenous covariate decoder
United States,US,1,wk inc covid hosp,hosp,2026-03-14,2026-03-21,OHT_JHU-nbxd,2345.31,3254.34,3815.37,4437.55,5800.77,2300,3300,3800,4400,5800,One Health Trust and Johns Hopkins University,2026-03-11,NBEATS exogenous covariate decoder
United States,US,2,wk inc covid hosp,hosp,2026-03-14,2026-03-28,OHT_JHU-nbxd,1880.85,2824.87,3430.12,4116.43,5661.77,1900,2800,3400,4100,5700,One Health Trust and Johns Hopkins University,2026-03-11,NBEATS exogenous covariate decoder
United States,US,0,wk inc covid hosp,hosp,2026-03-14,2026-03-14,UGA_flucast-INFLAenza,3339,3826.75,4119,4435,5073.049999999999,3300,3800,4100,4400,5100,UGA_flucast,2026-03-11,INFLAenza
United States,US,1,wk inc covid hosp,hosp,2026-03-14,2026-03-21,UGA_flucast-INFLAenza,2789.975,3384.75,3764,4189.25,5052.049999999999,2800,3400,3800,4200,5100,UGA_flucast,2026-03-11,INFLAenza
United States,US,2,wk inc covid hosp,hosp,2026-03-14,2026-03-28,UGA_flucast-INFLAenza,2420.8250000000003,3083.75,3512,3973.2500000000005,5002.1749999999975,2400,3100,3500,4000,5000,UGA_flucast,2026-03-11,INFLAenza
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-03-14,2026-03-14,UGA_flucast-INFLAenza,0.0025721626229785947,0.003527100132083007,0.004131485014961229,0.004796179429607718,0.006192501361649342,0.0026,0.0035,0.0041,0.0048,0.0062,UGA_flucast,2026-03-11,INFLAenza
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-03-14,2026-03-21,UGA_flucast-INFLAenza,0.002123221938154211,0.0031060071928220366,0.003716186589189751,0.004415848560293951,0.0061060153545068,0.0021,0.0031,0.0037,0.0044,0.0061,UGA_flucast,2026-03-11,INFLAenza
United States,US,2,wk inc covid prop ed visits,prop_ed,2026-03-14,2026-03-28,UGA_flucast-INFLAenza,0.0017990798647986729,0.0027583572651915652,0.0033621213505579416,0.004105910957273239,0.005933277858451371,0.0018,0.0028,0.0034,0.0041,0.0059,UGA_flucast,2026-03-11,INFLAenza
United States,US,0,wk inc covid hosp,hosp,2026-03-14,2026-03-14,UM-DeepOutbreak,2320.621100000002,3221.8075066122447,4396.5996000000005,5333.00740767347,6234.1938142857125,2300,3200,4400,5300,6200,"University of Michigan, Computer Science and Engineering",2026-03-11,DeepOutbreak
United States,US,1,wk inc covid hosp,hosp,2026-03-14,2026-03-21,UM-DeepOutbreak,442.0594142857144,2736.8567032653064,4273.761842857143,5770.520268163265,8065.317557142857,440,2700,4300,5800,8100,"University of Michigan, Computer Science and Engineering",2026-03-11,DeepOutbreak
United States,US,2,wk inc covid hosp,hosp,2026-03-14,2026-03-28,UM-DeepOutbreak,0,1996.231351379591,3890.582,5698.7309057632665,8584.865785714286,0,2000,3900,5700,8600,"University of Michigan, Computer Science and Engineering",2026-03-11,DeepOutbreak
United States,US,0,wk inc covid hosp,hosp,2026-03-14,2026-03-14,UMass-ar6_pooled,3162.828408149486,4059.3113532866623,4563.375982420644,5062.250031354146,6127.6020759368585,3200,4100,4600,5100,6100,UMass-Amherst,2026-03-11,AR(6) model with pooling
United States,US,1,wk inc covid hosp,hosp,2026-03-14,2026-03-21,UMass-ar6_pooled,2767.1499398488354,3930.4907664292027,4632.025449893534,5340.704634085029,6767.972377401992,2800,3900,4600,5300,6800,UMass-Amherst,2026-03-11,AR(6) model with pooling
United States,US,2,wk inc covid hosp,hosp,2026-03-14,2026-03-28,UMass-ar6_pooled,2568.846555781577,3914.569058520555,4799.400047457246,5709.582484663945,7749.333564004514,2600,3900,4800,5700,7700,UMass-Amherst,2026-03-11,AR(6) model with pooling
United States,US,0,wk inc covid hosp,hosp,2026-03-14,2026-03-14,UMass-gbqr,3147.5783086372708,3955.9331372615743,4278.830706690734,4375.437862713856,5321.910650742795,3100,4000,4300,4400,5300,UMass-Amherst,2026-03-11,gradient boosting quantile regression
United States,US,1,wk inc covid hosp,hosp,2026-03-14,2026-03-21,UMass-gbqr,2841.768274323925,3796.9872746097785,4198.733380996206,4334.931707759758,5989.714683070631,2800,3800,4200,4300,6000,UMass-Amherst,2026-03-11,gradient boosting quantile regression
United States,US,2,wk inc covid hosp,hosp,2026-03-14,2026-03-28,UMass-gbqr,2675.2708056127617,3758.2652983230155,4181.5624342389565,4340.154331274432,6296.849207427827,2700,3800,4200,4300,6300,UMass-Amherst,2026-03-11,gradient boosting quantile regression
Alabama,AL,0,wk inc covid hosp,hosp,2026-03-14,2026-03-14,CEPH-Rtrend_covid,71,85,93,103,121,70,90,90,100,120,CEPH Lab at Indiana University,2026-03-11,Rtrend COVID
Alabama,AL,1,wk inc covid hosp,hosp,2026-03-14,2026-03-21,CEPH-Rtrend_covid,50,69,82,97,131,50,70,80,100,130,CEPH Lab at Indiana University,2026-03-11,Rtrend COVID
Alabama,AL,2,wk inc covid hosp,hosp,2026-03-14,2026-03-28,CEPH-Rtrend_covid,34,54,70,89,135,30,50,70,90,140,CEPH Lab at Indiana University,2026-03-11,Rtrend COVID
Alabama,AL,0,wk inc covid hosp,hosp,2026-03-14,2026-03-14,CFA-EpiAutoGP,64.341002,90.854178,105.40987,122.67558,159.45224,60,90,110,120,160,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-03-11,EpiAutoGP
Alabama,AL,1,wk inc covid hosp,hosp,2026-03-14,2026-03-21,CFA-EpiAutoGP,51.05785,87.321594,106.87116,128.71258,184.28536,50,90,110,130,180,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-03-11,EpiAutoGP
Alabama,AL,2,wk inc covid hosp,hosp,2026-03-14,2026-03-28,CFA-EpiAutoGP,38.469458,83.542596,109.54661,137.4705,207.92715,40,80,110,140,210,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-03-11,EpiAutoGP
Alabama,AL,0,wk inc covid prop ed visits,prop_ed,2026-03-14,2026-03-14,CFA_Pyrenew-Pyrenew_E_COVID,0.0038590645090432136,0.004889998106476637,0.005524606157854953,0.006207421733474357,0.007885814099090248,0.0039,0.0049,0.0055,0.0062,0.0079,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-03-11,Pyrenew_ED_Visits_COVID
