location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.10,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.90,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.10_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.90_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.10,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.90,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.10_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.90_rounded,rate_quantile_0.975_rounded,designated_model,ensemble_of_hub_models,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2025-08-23,2025-08-23,CEPH-Rtrend_covid,7225,7761,8331,9020,9764,10459,11211,7200,7800,8300,9000,9800,10500,11200,2.140785916080872,2.2996040823119235,2.468496535206885,2.6726489914255316,2.8930980878357975,3.099028359348075,3.321847876149849,2.14,2.3,2.47,2.67,2.89,3.1,3.32,TRUE,FALSE,CEPH Lab at Indiana University,2025-08-20,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2025-08-23,2025-08-30,CEPH-Rtrend_covid,7004,7941,8997,10364,11910,13435,15143,7000,7900,9000,10400,11900,13400,15100,2.0753030527654572,2.3529385411208588,2.6658340327999457,3.070879617198915,3.5289633578578803,3.980824744989137,4.4869094985761455,2.08,2.35,2.67,3.07,3.53,3.98,4.49,TRUE,FALSE,CEPH Lab at Indiana University,2025-08-20,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2025-08-23,2025-09-06,CEPH-Rtrend_covid,6665,7924,9420,11427,13796,16223,18995,6700,7900,9400,11400,13800,16200,19000,1.974856488675296,2.347901397788904,2.7911700110009434,3.385849226720571,4.087789965155946,4.806916251429756,5.628266917087359,1.97,2.35,2.79,3.39,4.09,4.81,5.63,TRUE,FALSE,CEPH Lab at Indiana University,2025-08-20,Rtrend COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2025-08-23,2025-08-23,CFA_Pyrenew-Pyrenew_E_COVID,0.014176768285353395,0.014497213859214222,0.014846220290237412,0.015183572650786941,0.015597604525471398,0.015945925070284913,0.01637911812953705,0.014,0.014,0.015,0.015,0.016,0.016,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-08-20,Pyrenew_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2025-08-23,2025-08-30,CFA_Pyrenew-Pyrenew_E_COVID,0.014026959139165622,0.015437559331042237,0.016607505130275143,0.01796484513509875,0.019689807468316774,0.02126649746675025,0.023462588383043406,0.014,0.015,0.017,0.018,0.02,0.021,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-08-20,Pyrenew_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2025-08-23,2025-08-23,CFA_Pyrenew-Pyrenew_HE_COVID,8988.375,9428.699999999999,9767.75,10121.5,10505.75,10841,11211,9000,9400,9800,10100,10500,10800,11200,2.663278423315351,2.793747843176708,2.8942092223943168,2.9990262490813215,3.112880503510951,3.212215933042593,3.321847876149849,2.66,2.79,2.89,3,3.11,3.21,3.32,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-08-20,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2025-08-23,2025-08-23,CFA_Pyrenew-Pyrenew_HE_COVID,0.014271467295090356,0.014586797933773044,0.014923286097582866,0.015296353335861882,0.01570018208807331,0.01607789506384966,0.01648625283976122,0.014,0.015,0.015,0.015,0.016,0.016,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-08-20,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid hosp,hosp,2025-08-23,2025-08-30,CFA_Pyrenew-Pyrenew_HE_COVID,10771.95,11320.5,11848.75,12364,12972,13598.1,14350.525,10800,11300,11800,12400,13000,13600,14400,3.191756242038388,3.3542930052586177,3.5108148267353956,3.6634847150759726,3.8436366648305986,4.029151690721012,4.252097136106084,3.19,3.35,3.51,3.66,3.84,4.03,4.25,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-08-20,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2025-08-23,2025-08-30,CFA_Pyrenew-Pyrenew_HE_COVID,0.014492728444619428,0.01563379507646031,0.017109035621144034,0.018608440841217665,0.020401367171379164,0.02221076091452584,0.024455618085355096,0.014,0.016,0.017,0.019,0.02,0.022,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-08-20,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2025-08-23,2025-08-23,CFA_Pyrenew-Pyrenew_H_COVID,7184.8,7581.8,7895,8241,8595,8981.3,9419.050000000001,7200,7600,7900,8200,8600,9000,9400,2.128874553613543,2.2465066655421393,2.3393086238696865,2.441829305802418,2.5467204081266566,2.66118208278161,2.790888523579452,2.13,2.25,2.34,2.44,2.55,2.66,2.79,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-08-20,Pyrenew_Hospital_Admissions_COVID
