location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.10,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.90,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.10_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.90_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.10,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.90,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.10_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.90_rounded,rate_quantile_0.975_rounded,designated_model,ensemble_of_hub_models,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2026-07-25,2026-07-25,CEPH-Rtrend_covid,828,962,1111,1307,1534,1762,2027,830,960,1100,1300,1500,1800,2000,0.24801578089667672,0.28815360051039013,0.33278445963310127,0.3914935092173388,0.4594881737868383,0.5277823743236043,0.6071594056492315,0.25,0.29,0.33,0.39,0.45,0.54,0.6,TRUE,FALSE,CEPH Lab at Indiana University,2026-07-22,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2026-07-25,2026-08-01,CEPH-Rtrend_covid,630,819,1060,1412,1873,2404,3074,630,820,1100,1400,1900,2400,3100,0.1887076593779062,0.24531995719127808,0.3175081253025089,0.42294478578032313,0.5610308666901879,0.7200844653087087,0.9207735633772758,0.19,0.25,0.33,0.42,0.57,0.72,0.93,TRUE,FALSE,CEPH Lab at Indiana University,2026-07-22,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2026-07-25,2026-08-08,CEPH-Rtrend_covid,477,689,988,1476,2187,3070,4256,480,690,990,1500,2200,3100,4300,0.14287865638612898,0.20638028144663076,0.2959415356593196,0.44211508768538027,0.6550851604118745,0.9195754195082096,1.2748250766862999,0.14,0.21,0.3,0.45,0.66,0.93,1.29,TRUE,FALSE,CEPH Lab at Indiana University,2026-07-22,Rtrend COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-07-25,2026-07-25,CFA_Pyrenew-Pyrenew_E_COVID,0.00201765617498591,0.00207979359547688,0.00215204354041736,0.00222814178975917,0.00231512480827817,0.00239133772104903,0.00248762069060502,0.002,0.0021,0.0022,0.0022,0.0023,0.0024,0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-07-22,Pyrenew_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-07-25,2026-08-01,CFA_Pyrenew-Pyrenew_E_COVID,0.00209104981887794,0.00235152619918564,0.0025724470824777,0.0028346247458407,0.00313427099028641,0.00345280854661157,0.00394982752396633,0.0021,0.0024,0.0026,0.0028,0.0031,0.0035,0.0039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-07-22,Pyrenew_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-07-25,2026-08-01,CFA_Pyrenew-Pyrenew_HE_COVID,0.00212883852712279,0.00236059261993138,0.00254523145328953,0.00279703370266769,0.00306483373854424,0.00334202333003661,0.00376525208948403,0.0021,0.0024,0.0025,0.0028,0.0031,0.0033,0.0038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-07-22,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2026-07-25,2026-07-25,CFA_Pyrenew-Pyrenew_HE_COVID,1241.85,1396,1542,1728,1944,2152.3,2441.0999999999995,1200,1400,1500,1700,1900,2200,2400,0.3719787409499251,0.4181522103040588,0.4618844615249705,0.5175981514365428,0.5822979203661106,0.6446912623477263,0.7311972496942964,0.36,0.42,0.45,0.51,0.57,0.66,0.72,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-07-22,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid hosp,hosp,2026-07-25,2026-08-01,CFA_Pyrenew-Pyrenew_HE_COVID,1498,1706,1912,2178,2486.25,2808,3237.05,1500,1700,1900,2200,2500,2800,3200,0.4487048789652437,0.5110083601566794,0.5727127694135821,0.6523893367064758,0.7447212986163798,0.8410969960843819,0.9696129028400814,0.45,0.51,0.57,0.66,0.75,0.84,0.96,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-07-22,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-07-25,2026-07-25,CFA_Pyrenew-Pyrenew_HE_COVID,0.00201055406993975,0.00207453583508204,0.0021367990514285,0.00221160022440885,0.00229048401581688,0.00236347317987058,0.00245523389117832,0.002,0.0021,0.0021,0.0022,0.0023,0.0024,0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-07-22,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2026-07-25,2026-07-25,CFA_Pyrenew-Pyrenew_H_COVID,933.975,1049.9,1165.75,1301,1458.25,1614,1824.0999999999997,930,1000,1200,1300,1500,1600,1800,0.279759105027746,0.31448281203311707,0.34918405384094314,0.3896962934137396,0.43679832426639953,0.4834510511681597,0.546383557890855,0.28,0.3,0.36,0.39,0.45,0.48,0.54,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-07-22,Pyrenew_Hospital_Admissions_COVID
