location_name,horizon,rate_quantile_0.025,rate_quantile_0.5,rate_quantile_0.975,count_quantile_0.025,count_quantile_0.5,count_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.5_rounded,rate_quantile_0.975_rounded,count_quantile_0.025_rounded,count_quantile_0.5_rounded,count_quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
Arizona,0,0.06270624834699397,0.2220725218351869,0.539516479935517,4.649070097320372,16.4645589222208,40,0.06,0.22,0.54,5,20,40,wk inc covid hosp,hosp,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Arizona,1,0.05182612076759855,0.23925066945817183,0.7277805060042986,3.8424124337253094,17.73815468893681,53.95798149419146,0.05,0.24,0.73,4,20,50,wk inc covid hosp,hosp,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Arizona,2,0.04993151297989694,0.26277558094672593,0.8539771126630158,3.70194534082553,19.482302448157498,63.31425596230782,0.05,0.26,0.85,4,20,60,wk inc covid hosp,hosp,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Arizona,0,NA,NA,NA,7.361103443535915e-4,0.00120514706044461,0.0021947607499914,NA,NA,NA,7.4e-4,0.0012,0.0022,wk inc covid prop ed visits,prop_ed,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Arizona,1,NA,NA,NA,6.465574740959617e-4,0.00124554629832678,0.0026790749375647702,NA,NA,NA,6.5e-4,0.0012,0.0027,wk inc covid prop ed visits,prop_ed,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Arizona,2,NA,NA,NA,6.815310068167373e-4,0.00165035913296132,0.00369301125851267,NA,NA,NA,6.8e-4,0.0017,0.0037,wk inc covid prop ed visits,prop_ed,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Arkansas,0,0.01813185075717158,0.0870328836344236,0.4660957411988022,0.5555555555555556,2.666666666666667,14.281061647353413,0.02,0.09,0.47,1,3,10,wk inc covid hosp,hosp,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Arkansas,1,1.7645508735116191e-6,0.11008499140103388,0.6794379890447586,5.4065415272186374e-5,3.372977716129742,20.81781691921403,0,0.11,0.68,0,3,20,wk inc covid hosp,hosp,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Arkansas,2,0.0014142058086586,0.11484628902450068,0.8649240934638556,0.04333092656790568,3.518862732601335,26.501066641950104,0,0.11,0.86,0,4,30,wk inc covid hosp,hosp,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Arkansas,0,NA,NA,NA,4.176416028659702e-4,0.00101997187688091,0.00196150561773138,NA,NA,NA,4.2e-4,0.001,0.002,wk inc covid prop ed visits,prop_ed,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
