location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2026-04-11,2026-04-11,CEPH-Rtrend_covid,869,1301,1608,1972,2790,870,1300,1600,2000,2800,0.26029675555460396,0.3896962934137396,0.4816538353645606,0.5906849274495731,0.8357053486735846,0.26,0.39,0.48,0.6,0.84,CEPH Lab at Indiana University,2026-04-08,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2026-04-11,2026-04-18,CEPH-Rtrend_covid,440,899,1312,1883,3508,440,900,1300,1900,3500,0.13179582559726782,0.2692828345725995,0.3929911890536713,0.5640262263628529,1.0507721731709443,0.13,0.27,0.39,0.57,1.05,CEPH Lab at Indiana University,2026-04-08,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2026-04-11,2026-04-25,CEPH-Rtrend_covid,217,613,1055,1775,4313,220,610,1100,1800,4300,0.06499930489683436,0.1836155479343754,0.31601044546617624,0.5316763418980691,1.2918986268204913,0.07,0.18,0.33,0.54,1.29,CEPH Lab at Indiana University,2026-04-08,Rtrend COVID
United States,US,0,wk inc covid hosp,hosp,2026-04-11,2026-04-11,CFA-EpiAutoGP,1317.5283,1504.0538,1635.9307,1772.9318,2080.4985,1300,1500,1600,1800,2100,0.3946471137415108,0.4505182098038817,0.49002008460549146,0.5310568416105684,0.6231841305940394,0.39,0.45,0.48,0.54,0.63,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-04-08,EpiAutoGP
United States,US,1,wk inc covid hosp,hosp,2026-04-11,2026-04-18,CFA-EpiAutoGP,1000.4485,1274.3959,1469.5742,1692.3122,2229.9743,1000,1300,1500,1700,2200,0.2996703091478368,0.3817274085869845,0.4401903294669191,0.5069083717439287,0.667957508929976,0.3,0.39,0.45,0.51,0.66,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-04-08,EpiAutoGP
United States,US,2,wk inc covid hosp,hosp,2026-04-11,2026-04-25,CFA-EpiAutoGP,797.76589,1136.6964,1380.8225,1664.2693,2615.3147,800,1100,1400,1700,2600,0.23895957751338442,0.34048145566236865,0.4136060031608712,0.4985085145674705,0.7833808183708427,0.24,0.33,0.42,0.51,0.78,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-04-08,EpiAutoGP
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-04-11,2026-04-11,CFA_Pyrenew-Pyrenew_E_COVID,0.00191713624537934,0.00210623722682507,0.00220795864680336,0.00232174915892554,0.00254804293122281,0.0019,0.0021,0.0022,0.0023,0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-08,Pyrenew_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-04-11,2026-04-18,CFA_Pyrenew-Pyrenew_E_COVID,0.00118500914874859,0.00154328197718453,0.00181500458308646,0.00212272177620168,0.00299850867467083,0.0012,0.0015,0.0018,0.0021,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-08,Pyrenew_ED_Visits_COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-04-11,2026-04-11,CFA_Pyrenew-Pyrenew_HE_COVID,0.00192746096072099,0.00211482413575498,0.00222693283821614,0.00234075994639999,0.00256854769844941,0.0019,0.0021,0.0022,0.0023,0.0026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-08,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-04-11,2026-04-18,CFA_Pyrenew-Pyrenew_HE_COVID,0.00122139227658515,0.00161857548473209,0.00187740576468266,0.00217402589339195,0.00291626321997651,0.0012,0.0016,0.0019,0.0022,0.0029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-08,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2026-04-11,2026-04-11,CFA_Pyrenew-Pyrenew_HE_COVID,1611.95,2011.75,2214,2444,2949.05,1600,2000,2200,2400,2900,0.4828370024352634,0.6025914821484172,0.6631726315280704,0.7320659039993695,0.8833465442673244,0.48,0.6,0.66,0.72,0.87,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-08,Pyrenew_Hospital_Admissions_ED_Visits_COVID
