location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,NA,NA,NA,0.0041069598595045,0.00579064019883458,0.00814558993295217,NA,NA,NA,0.0041,0.0058,0.0081,wk inc rsv prop ed visits,prop_ed,2026-02-28,2026-02-28,2026-02-25,"February 28, 2026","February 25, 2026","February 28, 2026",RSVHub-ensemble
United States,1,NA,NA,NA,0.00326920123462301,0.00568622751826824,0.01003580759183298,NA,NA,NA,0.0033,0.0057,0.01,wk inc rsv prop ed visits,prop_ed,2026-03-07,2026-02-28,2026-02-25,"March 07, 2026","February 25, 2026","February 28, 2026",RSVHub-ensemble
United States,2,NA,NA,NA,0.00174870258672631,0.00407320537184436,0.00856160023932079,NA,NA,NA,0.0017,0.0041,0.0086,wk inc rsv prop ed visits,prop_ed,2026-03-14,2026-02-28,2026-02-25,"March 14, 2026","February 25, 2026","February 28, 2026",RSVHub-ensemble
United States,0,1.527472432476835,2.2015921039072057,2.8707864080786236,5099.4625,7350.0091625,9584.1125,1.53,2.2,2.87,5100,7400,9600,wk inc rsv hosp,hosp,2026-02-28,2026-02-28,2026-02-25,"February 28, 2026","February 25, 2026","February 28, 2026",RSVHub-ensemble
United States,1,1.313585030850587,2.153356427404145,3.047259520873529,4385.4,7188.9744896249995,10173.2675,1.31,2.15,3.05,4400,7200,10200,wk inc rsv hosp,hosp,2026-03-07,2026-02-28,2026-02-25,"March 07, 2026","February 25, 2026","February 28, 2026",RSVHub-ensemble
United States,2,0.9731923576489162,1.840049446918219,2.8312059088298063,3249,6143,9451.9731125,0.97,1.84,2.83,3200,6100,9500,wk inc rsv hosp,hosp,2026-03-14,2026-02-28,2026-02-25,"March 14, 2026","February 25, 2026","February 28, 2026",RSVHub-ensemble
Alabama,0,NA,NA,NA,0.00216488207316653,0.00344866984044672,0.00521807938021438,NA,NA,NA,0.0022,0.0034,0.0052,wk inc rsv prop ed visits,prop_ed,2026-02-28,2026-02-28,2026-02-25,"February 28, 2026","February 25, 2026","February 28, 2026",RSVHub-ensemble
Alabama,1,NA,NA,NA,0.00169181786696405,0.00334088875404965,0.00648221523835786,NA,NA,NA,0.0017,0.0033,0.0065,wk inc rsv prop ed visits,prop_ed,2026-03-07,2026-02-28,2026-02-25,"March 07, 2026","February 25, 2026","February 28, 2026",RSVHub-ensemble
Alabama,2,NA,NA,NA,9.148961451393322e-4,0.00232542662646897,0.00512773064967316,NA,NA,NA,9.1e-4,0.0023,0.0051,wk inc rsv prop ed visits,prop_ed,2026-03-14,2026-02-28,2026-02-25,"March 14, 2026","February 25, 2026","February 28, 2026",RSVHub-ensemble
Alabama,0,0.6915343056926908,1.2163156582396264,1.932372457041987,35.25,62,98.5,0.69,1.22,1.93,40,60,100,wk inc rsv hosp,hosp,2026-02-28,2026-02-28,2026-02-25,"February 28, 2026","February 25, 2026","February 28, 2026",RSVHub-ensemble
Alabama,1,0.5689218401443414,1.118225685800947,2.1089344074316103,29,57,107.5,0.57,1.12,2.11,30,60,110,wk inc rsv hosp,hosp,2026-03-07,2026-02-28,2026-02-25,"March 07, 2026","February 25, 2026","February 28, 2026",RSVHub-ensemble
Alabama,2,0.43159587873019,0.882809751948116,1.6282935424820806,22,45,83,0.43,0.88,1.63,20,50,80,wk inc rsv hosp,hosp,2026-03-14,2026-02-28,2026-02-25,"March 14, 2026","February 25, 2026","February 28, 2026",RSVHub-ensemble
Alaska,0,NA,NA,NA,0.00365996206579941,0.00631213579704733,0.01004115681421826,NA,NA,NA,0.0037,0.0063,0.01,wk inc rsv prop ed visits,prop_ed,2026-02-28,2026-02-28,2026-02-25,"February 28, 2026","February 25, 2026","February 28, 2026",RSVHub-ensemble
Alaska,1,NA,NA,NA,0.00260472954206805,0.00555980849179269,0.01108334961148721,NA,NA,NA,0.0026,0.0056,0.011,wk inc rsv prop ed visits,prop_ed,2026-03-07,2026-02-28,2026-02-25,"March 07, 2026","February 25, 2026","February 28, 2026",RSVHub-ensemble
Alaska,2,NA,NA,NA,0.00204174789335406,0.0046504832009052,0.01025815817140626,NA,NA,NA,0.002,0.0047,0.01,wk inc rsv prop ed visits,prop_ed,2026-03-14,2026-02-28,2026-02-25,"March 14, 2026","February 25, 2026","February 28, 2026",RSVHub-ensemble
Alaska,0,0.421519408861181,1.33481146139374,2.8803826272180704,3,9.5,20.5,0.42,1.33,2.88,3,10,20,wk inc rsv hosp,hosp,2026-02-28,2026-02-28,2026-02-25,"February 28, 2026","February 25, 2026","February 28, 2026",RSVHub-ensemble
Alaska,1,0.3512661740509842,1.2294316091784447,3.0577720451138073,2.5,8.75,21.762499999999932,0.35,1.23,3.06,3,9,20,wk inc rsv hosp,hosp,2026-03-07,2026-02-28,2026-02-25,"March 07, 2026","February 25, 2026","February 28, 2026",RSVHub-ensemble
Alaska,2,0.28101293924078735,1.264558226583543,2.529116453167086,2,9,18,0.28,1.26,2.53,2,9,20,wk inc rsv hosp,hosp,2026-03-14,2026-02-28,2026-02-25,"March 14, 2026","February 25, 2026","February 28, 2026",RSVHub-ensemble
