location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2025-05-24,2025-05-24,CEPH-Rtrend_covid,2131,2679,3036,3429,4246,2100,2700,3000,3400,4200,0.6383111462449494,0.8024568563070013,0.909391196621148,1.0271088317568895,1.2718297170136346,0.63,0.81,0.9,1.02,1.26,CEPH Lab at Indiana University,2025-05-21,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2025-05-24,2025-05-31,CEPH-Rtrend_covid,1394,2065,2560,3153,4510,1400,2100,2600,3200,4500,0.41755313836952584,0.6185417724053592,0.7668120762022855,0.9444369047913306,1.3509072123719952,0.42,0.63,0.78,0.96,1.35,CEPH Lab at Indiana University,2025-05-21,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2025-05-24,2025-06-07,CEPH-Rtrend_covid,902,1553,2081,2755,4404,900,1600,2100,2800,4400,0.27018144247439907,0.4651793571649021,0.6233343478816236,0.8252215898192564,1.3191563998417444,0.27,0.48,0.63,0.84,1.32,CEPH Lab at Indiana University,2025-05-21,Rtrend COVID
United States,US,0,wk inc covid hosp,hosp,2025-05-24,2025-05-24,CFA_Pyrenew-Pyrenew_HE_COVID,3128.475,3524.75,3727,3946.25,4443.525,3100,3500,3700,3900,4400,0.9370907851941193,1.0557894006226587,1.1163705500023118,1.1820438108254958,1.3309955589479534,0.93,1.05,1.11,1.17,1.32,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-05-21,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid hosp,hosp,2025-05-24,2025-05-31,CFA_Pyrenew-Pyrenew_HE_COVID,2391.85,3148.5,3613.5,4187.25,5849.974999999998,2400,3100,3600,4200,5800,0.7164451033064205,0.9430889929386314,1.082373217717562,1.2542319789367267,1.7522779201099465,0.72,0.93,1.08,1.26,1.74,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-05-21,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2025-05-24,2025-05-24,CFA_Pyrenew-Pyrenew_H_COVID,2192.85,2668.5,2904,3169,3765.6749999999993,2200,2700,2900,3200,3800,0.6568374458203835,0.7993117286507028,0.8698524489419676,0.9492294802675949,1.1279551035363442,0.66,0.81,0.87,0.96,1.14,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-05-21,Pyrenew_Hospital_Admissions_COVID
United States,US,1,wk inc covid hosp,hosp,2025-05-24,2025-05-31,CFA_Pyrenew-Pyrenew_H_COVID,1393,2118.75,2465.5,2923.5,4309.525,1400,2100,2500,2900,4300,0.4172536024022593,0.6346418306459346,0.7385059272955996,0.8756934003036647,1.29085773933424,0.42,0.63,0.75,0.87,1.29,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-05-21,Pyrenew_Hospital_Admissions_COVID
United States,US,0,wk inc covid hosp,hosp,2025-05-24,2025-05-24,CMU-TimeSeries,1463.4736249426674,2581.408113225233,3127.5025681483794,3937.790442289802,6670.023072946471,1500,2600,3100,3900,6700,0.438362987816239,0.773224576104557,0.9367995068788434,1.1795098690241248,1.9979118128450126,0.45,0.78,0.93,1.17,2.01,Carnegie Mellon Delphi Group,2025-05-21,AR ensemble with auxiliary data
United States,US,1,wk inc covid hosp,hosp,2025-05-24,2025-05-31,CMU-TimeSeries,1098.7317295586572,2250.7666036671662,2896.9655104523627,4130.548366082821,8713.452108284404,1100,2300,2900,4100,8700,0.32910967137976643,0.6741855517206198,0.8677453663110899,1.2372478001757525,2.6099923054854477,0.33,0.69,0.87,1.23,2.61,Carnegie Mellon Delphi Group,2025-05-21,AR ensemble with auxiliary data
United States,US,2,wk inc covid hosp,hosp,2025-05-24,2025-06-07,CMU-TimeSeries,1166.0483619623533,2102.5968787696256,2784.693265574316,4505.901609617598,10061.002537357255,1200,2100,2800,4500,10100,0.34927342397993216,0.629803389853821,0.8341157908443608,1.3496795970445667,3.0136321266981954,0.36,0.63,0.84,1.35,3.03,Carnegie Mellon Delphi Group,2025-05-21,AR ensemble with auxiliary data
