location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,quantile_0.025,quantile_0.10,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.90,quantile_0.975,quantile_0.025_rounded,quantile_0.10_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.90_rounded,quantile_0.975_rounded,designated_model,ensemble_of_hub_models,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc rsv hosp,hosp,2026-09-26,2026-09-26,CEPH-Rtrend_rsv,190,259,326,421,527,644,775,190,260,330,420,530,640,780,TRUE,FALSE,CEPH Lab at Indiana University,2026-09-23,Rtrend RSV
United States,US,1,wk inc rsv hosp,hosp,2026-09-26,2026-10-03,CEPH-Rtrend_rsv,170,233,315,442,593,762,983,170,230,320,440,590,760,980,TRUE,FALSE,CEPH Lab at Indiana University,2026-09-23,Rtrend RSV
United States,US,2,wk inc rsv hosp,hosp,2026-09-26,2026-10-10,CEPH-Rtrend_rsv,139,212,307,457,660,911,1257,140,210,310,460,660,910,1300,TRUE,FALSE,CEPH Lab at Indiana University,2026-09-23,Rtrend RSV
United States,US,0,wk inc rsv prop ed visits,prop_ed,2026-09-26,2026-09-26,CFA-PyRenew_E,2.971163064366689e-4,3.1920696254116965e-4,3.3925196911880164e-4,3.6515234817082994e-4,3.925664053341195e-4,4.177472338331362e-4,4.504694909752044e-4,3e-4,3.2e-4,3.4e-4,3.7e-4,3.9e-4,4.2e-4,4.5e-4,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CDC/CFA),2026-09-23,PyRenew-E
United States,US,1,wk inc rsv prop ed visits,prop_ed,2026-09-26,2026-10-03,CFA-PyRenew_E,2.755895419882855e-4,3.115371015817905e-4,3.469422105444595e-4,3.903310750397495e-4,4.38922337549504e-4,4.901205571298246e-4,5.525543763966139e-4,2.8e-4,3.1e-4,3.5e-4,3.9e-4,4.4e-4,4.9e-4,5.5e-4,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CDC/CFA),2026-09-23,PyRenew-E
United States,US,2,wk inc rsv prop ed visits,prop_ed,2026-09-26,2026-10-10,CFA-PyRenew_E,2.4711681309146164e-4,2.981490362688448e-4,3.511413974370818e-4,4.180630177030427e-4,5.024466306388453e-4,5.847239096945787e-4,7.053891221320695e-4,2.5e-4,3e-4,3.5e-4,4.2e-4,5e-4,5.8e-4,7.1e-4,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CDC/CFA),2026-09-23,PyRenew-E
United States,US,0,wk inc rsv prop ed visits,prop_ed,2026-09-26,2026-09-26,CFA-NowcastAutoGP,2.8913223281449587e-4,3.2315202853909025e-4,3.5546853704550237e-4,3.9456500852115366e-4,4.377435903572673e-4,0.00048093109203252503,5.30099118260341e-4,2.9e-4,3.2e-4,3.6e-4,3.9e-4,4.4e-4,4.8e-4,5.3e-4,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CDC/CFA),2026-09-23,NowcastAutoGP
United States,US,1,wk inc rsv prop ed visits,prop_ed,2026-09-26,2026-10-03,CFA-NowcastAutoGP,2.9042072922854403e-4,3.32242294080859e-4,3.789982504210196e-4,4.387034201287512e-4,5.077506097443915e-4,5.840068809070285e-4,6.702722900175822e-4,2.9e-4,3.3e-4,3.8e-4,4.4e-4,5.1e-4,5.8e-4,6.7e-4,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CDC/CFA),2026-09-23,NowcastAutoGP
United States,US,2,wk inc rsv prop ed visits,prop_ed,2026-09-26,2026-10-10,CFA-NowcastAutoGP,2.8587523904239465e-4,3.476919783739969e-4,4.1170136527949e-4,4.935482177787127e-4,5.943438372224871e-4,7.093281268653661e-4,8.478519013014769e-4,2.9e-4,3.5e-4,4.1e-4,4.9e-4,5.9e-4,7.1e-4,8.5e-4,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CDC/CFA),2026-09-23,NowcastAutoGP
United States,US,0,wk inc rsv hosp,hosp,2026-09-26,2026-09-26,CFA-PyRenew_H,315,346.90000000000003,379,417,459,504.10000000000014,562,320,350,380,420,460,500,560,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CDC/CFA),2026-09-23,PyRenew-H
