location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc rsv hosp,hosp,2026-04-25,2026-04-25,CEPH-Rtrend_rsv,964,1488,1858,2306,3288,960,1500,1900,2300,3300,CEPH Lab at Indiana University,2026-04-22,Rtrend RSV
United States,US,1,wk inc rsv hosp,hosp,2026-04-25,2026-05-02,CEPH-Rtrend_rsv,634,1105,1477,1958,3144,630,1100,1500,2000,3100,CEPH Lab at Indiana University,2026-04-22,Rtrend RSV
United States,US,2,wk inc rsv hosp,hosp,2026-04-25,2026-05-09,CEPH-Rtrend_rsv,400,799,1153,1631,2917,400,800,1200,1600,2900,CEPH Lab at Indiana University,2026-04-22,Rtrend RSV
United States,US,0,wk inc rsv prop ed visits,prop_ed,2026-04-25,2026-04-25,CFA_Pyrenew-Pyrenew_E_RSV,0.0014154010237002706,0.0015382925377840854,0.0016087730025762784,0.0016858789430613502,0.0018235050790317642,0.0014,0.0015,0.0016,0.0017,0.0018,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-22,Pyrenew_ED_Visits_RSV
United States,US,1,wk inc rsv prop ed visits,prop_ed,2026-04-25,2026-05-02,CFA_Pyrenew-Pyrenew_E_RSV,8.746145373201459e-4,0.0010859668470753713,0.0012244161542022958,0.0013645448265546501,0.0016933087922881918,8.7e-4,0.0011,0.0012,0.0014,0.0017,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-22,Pyrenew_ED_Visits_RSV
United States,US,0,wk inc rsv prop ed visits,prop_ed,2026-04-25,2026-04-25,CFA_Pyrenew-Pyrenew_HE_RSV,0.001405792637192782,0.001524395371340674,0.00159371863109472,0.0016697221913832593,0.0018168259595715136,0.0014,0.0015,0.0016,0.0017,0.0018,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-22,Pyrenew_Hospital_Admissions_ED_Visits_RSV
United States,US,1,wk inc rsv prop ed visits,prop_ed,2026-04-25,2026-05-02,CFA_Pyrenew-Pyrenew_HE_RSV,8.605204816666642e-4,0.0010748407891794474,0.0011934235202061398,0.0013387309612585788,0.0017023640327974952,8.6e-4,0.0011,0.0012,0.0013,0.0017,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-22,Pyrenew_Hospital_Admissions_ED_Visits_RSV
United States,US,0,wk inc rsv hosp,hosp,2026-04-25,2026-04-25,CFA_Pyrenew-Pyrenew_HE_RSV,1491,1993,2263,2557.25,3240.0249999999996,1500,2000,2300,2600,3200,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-22,Pyrenew_Hospital_Admissions_ED_Visits_RSV
United States,US,1,wk inc rsv hosp,hosp,2026-04-25,2026-05-02,CFA_Pyrenew-Pyrenew_HE_RSV,1158.7250000000001,1549.75,1777,2046.25,2729.1749999999993,1200,1500,1800,2000,2700,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-22,Pyrenew_Hospital_Admissions_ED_Visits_RSV
United States,US,0,wk inc rsv hosp,hosp,2026-04-25,2026-04-25,CFA_Pyrenew-Pyrenew_H_RSV,1365.9,1683,1886,2107,2596.124999999999,1400,1700,1900,2100,2600,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-22,Pyrenew_Hospital_Admissions_RSV
