location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,quantile_0.025,quantile_0.10,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.90,quantile_0.975,quantile_0.025_rounded,quantile_0.10_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.90_rounded,quantile_0.975_rounded,designated_model,ensemble_of_hub_models,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2026-09-26,2026-09-26,CEPH-Rtrend_covid,3595,3913,4248,4664,5117,5551,6035,3600,3900,4200,4700,5100,5600,6000,TRUE,FALSE,CEPH Lab at Indiana University,2026-09-23,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2026-09-26,2026-10-03,CEPH-Rtrend_covid,3007,3478,4025,4747,5600,6476,7495,3000,3500,4000,4700,5600,6500,7500,TRUE,FALSE,CEPH Lab at Indiana University,2026-09-23,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2026-09-26,2026-10-10,CEPH-Rtrend_covid,2456,3002,3683,4635,5833,7126,8689,2500,3000,3700,4600,5800,7100,8700,TRUE,FALSE,CEPH Lab at Indiana University,2026-09-23,Rtrend COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-09-26,2026-09-26,CFA-PyRenew_E,0.00351460530336913,0.00377427617320421,0.00397269991187187,0.00423353512957417,0.00449851773166593,0.00476487765389693,0.00507550727052153,0.0035,0.0038,0.004,0.0042,0.0045,0.0048,0.0051,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CDC/CFA),2026-09-23,PyRenew-E
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-09-26,2026-10-03,CFA-PyRenew_E,0.00232352629288168,0.00268785406833109,0.00309372610854614,0.00353177204971693,0.004058939477418,0.00460484500705883,0.00547816888457941,0.0023,0.0027,0.0031,0.0035,0.0041,0.0046,0.0055,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CDC/CFA),2026-09-23,PyRenew-E
United States,US,2,wk inc covid prop ed visits,prop_ed,2026-09-26,2026-10-10,CFA-PyRenew_E,0.00140909997882284,0.00182437930676458,0.00234197200888097,0.00299104739629867,0.00382558207407981,0.00485172360926222,0.00664704184756523,0.0014,0.0018,0.0023,0.003,0.0038,0.0049,0.0066,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CDC/CFA),2026-09-23,PyRenew-E
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-09-26,2026-09-26,CFA-NowcastAutoGP,0.0036520780953231227,0.004131471096280089,0.004579555320645924,0.00511505188458922,0.00574270766749419,0.00631689041468872,0.007152128192689113,0.0037,0.0041,0.0046,0.0051,0.0057,0.0063,0.0072,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CDC/CFA),2026-09-23,NowcastAutoGP
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-09-26,2026-10-03,CFA-NowcastAutoGP,0.002791833646710569,0.003317059724556342,0.003838218340590418,0.004538936109328515,0.00534957147732664,0.006217632402377535,0.007299135999644132,0.0028,0.0033,0.0038,0.0045,0.0053,0.0062,0.0073,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CDC/CFA),2026-09-23,NowcastAutoGP
United States,US,2,wk inc covid prop ed visits,prop_ed,2026-09-26,2026-10-10,CFA-NowcastAutoGP,0.0020971143866457564,0.0026196787128737174,0.003101191275254841,0.003823527349585902,0.004689464987049148,0.00563670051875017,0.006793800288627084,0.0021,0.0026,0.0031,0.0038,0.0047,0.0056,0.0068,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CDC/CFA),2026-09-23,NowcastAutoGP
United States,US,0,wk inc covid hosp,hosp,2026-09-26,2026-09-26,CFA-PyRenew_H,3806.95,4042.9,4246,4464,4694,4907.1,5222.174999999998,3800,4000,4200,4500,4700,4900,5200,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CDC/CFA),2026-09-23,PyRenew-H
