location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2025-08-30,2025-08-30,CEPH-Rtrend_covid,8022,9236,9995,10807,12387,8000,9200,10000,10800,12400,2.402877529412006,2.766514193673558,2.9938619928288452,3.2370851982492574,3.7103520265303556,2.4,2.76,3,3.23,3.71,CEPH Lab at Indiana University,2025-08-27,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2025-08-30,2025-09-06,CEPH-Rtrend_covid,7666,9819,11281,12944,16416,7700,9800,11300,12900,16400,2.2962427250651256,2.9411436625899383,3.379065246733587,3.8771935602978065,4.917182438647156,2.31,2.94,3.38,3.86,4.91,CEPH Lab at Indiana University,2025-08-27,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2025-08-30,2025-09-13,CEPH-Rtrend_covid,7201,10134,12252,14752,20240,7200,10100,12300,14800,20200,2.1569585002861946,3.0354974922788913,3.669914670949376,4.41875458911567,6.06260797747432,2.16,3.03,3.68,4.43,6.05,CEPH Lab at Indiana University,2025-08-27,Rtrend COVID
United States,US,0,wk inc covid hosp,hosp,2025-08-30,2025-08-30,CFA-EpiAutoGP,5239.9029,7909.5425,9900.1561,12084.528,17678.909,5200,7900,9900,12100,17700,1.5695393835341318,2.3691924633731314,2.9654528335030164,3.6197507834393177,5.295469107531747,1.56,2.37,2.97,3.62,5.3,Center for Forecasting and Outbreak Analytics (CFA/CDC),2025-08-27,EpiAutoGP
United States,US,1,wk inc covid hosp,hosp,2025-08-30,2025-09-06,CFA-EpiAutoGP,4331.6684,7882.3052,10614.831,14178.066,24845.884,4300,7900,10600,14200,24800,1.2974904840718093,2.361033912371903,3.1795236709556183,4.246840713278529,7.442235896531697,1.29,2.37,3.18,4.25,7.43,Center for Forecasting and Outbreak Analytics (CFA/CDC),2025-08-27,EpiAutoGP
United States,US,2,wk inc covid hosp,hosp,2025-08-30,2025-09-13,CFA-EpiAutoGP,3761.5229,7493.1894,11036.142,16013.604,34051.484,3800,7500,11000,16000,34100,1.1267114002466572,2.244479734840218,3.3057214688606424,4.7966503635629785,10.199644196800355,1.14,2.25,3.29,4.79,10.21,Center for Forecasting and Outbreak Analytics (CFA/CDC),2025-08-27,EpiAutoGP
United States,US,0,wk inc covid prop ed visits,prop_ed,2025-08-30,2025-08-30,CFA_Pyrenew-Pyrenew_E_COVID,0.01515548729493155,0.01582764649076893,0.01621498489496453,0.01661607248436529,0.01748202652419051,0.015,0.016,0.016,0.017,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-08-27,Pyrenew_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2025-08-30,2025-09-06,CFA_Pyrenew-Pyrenew_E_COVID,0.01372743325421476,0.01625555596833238,0.01774434027243948,0.01924499994783504,0.02344114307968947,0.014,0.016,0.018,0.019,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-08-27,Pyrenew_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2025-08-30,2025-08-30,CFA_Pyrenew-Pyrenew_HE_COVID,10263.675,11164,11635,12145.5,13243.125,10300,11200,11600,12100,13200,3.074339818834177,3.344019538563405,3.4851009791459346,3.6380140904354916,3.9667922565064035,3.09,3.35,3.47,3.62,3.95,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-08-27,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2025-08-30,2025-08-30,CFA_Pyrenew-Pyrenew_HE_COVID,0.01505826321624856,0.01579210598017447,0.0161904397994485,0.01659492641145682,0.01739034171314612,0.015,0.016,0.016,0.017,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-08-27,Pyrenew_Hospital_Admissions_ED_Visits_COVID
