location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,0.35914362475255485,0.6285762273087876,1.0468782055964796,1199,2098.5,3495,0.36,0.63,1.05,1200,2100,3500,wk inc rsv hosp,hosp,2026-04-11,2026-04-11,2026-04-08,"April 11, 2026","April 08, 2026","April 11, 2026",RSVHub-ensemble
United States,1,0.22959431890978588,0.45634304613053983,0.9664736833684886,766.5,1523.5,3226.5697244583334,0.23,0.46,0.97,770,1500,3200,wk inc rsv hosp,hosp,2026-04-18,2026-04-11,2026-04-08,"April 18, 2026","April 08, 2026","April 11, 2026",RSVHub-ensemble
United States,2,0.13928422477893077,0.30522715064458167,0.7868809860091421,465,1019,2627,0.14,0.31,0.79,470,1000,2600,wk inc rsv hosp,hosp,2026-04-25,2026-04-11,2026-04-08,"April 25, 2026","April 08, 2026","April 11, 2026",RSVHub-ensemble
United States,0,NA,NA,NA,0.002060447781097138,0.002882538770681149,0.004129502737378136,NA,NA,NA,0.0021,0.0029,0.0041,wk inc rsv prop ed visits,prop_ed,2026-04-11,2026-04-11,2026-04-08,"April 11, 2026","April 08, 2026","April 11, 2026",RSVHub-ensemble
United States,1,NA,NA,NA,0.0014918058253629229,0.0024819211155329927,0.004178006539818576,NA,NA,NA,0.0015,0.0025,0.0042,wk inc rsv prop ed visits,prop_ed,2026-04-18,2026-04-11,2026-04-08,"April 18, 2026","April 08, 2026","April 11, 2026",RSVHub-ensemble
Alabama,0,0.22560693660896294,0.43159587873019,0.9024277464358518,11.5,22,46,0.23,0.43,0.9,10,20,50,wk inc rsv hosp,hosp,2026-04-11,2026-04-11,2026-04-08,"April 11, 2026","April 08, 2026","April 11, 2026",RSVHub-ensemble
Alabama,1,0.13732596141415138,0.3433149035353784,0.8141467712410403,7,17.5,41.5,0.14,0.34,0.81,7,20,40,wk inc rsv hosp,hosp,2026-04-18,2026-04-11,2026-04-08,"April 18, 2026","April 08, 2026","April 11, 2026",RSVHub-ensemble
Alabama,2,0.09808997243867955,0.3040789145599066,0.7258657960462287,5,15.5,37,0.1,0.3,0.73,5,20,40,wk inc rsv hosp,hosp,2026-04-25,2026-04-11,2026-04-08,"April 25, 2026","April 08, 2026","April 11, 2026",RSVHub-ensemble
Alaska,0,0.07025323481019684,0.5620258784815747,1.686077635444724,0.5,4,12,0.07,0.56,1.69,1,4,10,wk inc rsv hosp,hosp,2026-04-11,2026-04-11,2026-04-08,"April 11, 2026","April 08, 2026","April 11, 2026",RSVHub-ensemble
Alaska,1,0.07025323481019684,0.4566460262662794,1.686077635444724,0.5,3.25,12,0.07,0.46,1.69,1,3,10,wk inc rsv hosp,hosp,2026-04-18,2026-04-11,2026-04-08,"April 18, 2026","April 08, 2026","April 11, 2026",RSVHub-ensemble
Alaska,2,0,0.28101293924078735,1.1240517569631494,0,2,8,0,0.28,1.12,0,2,8,wk inc rsv hosp,hosp,2026-04-25,2026-04-11,2026-04-08,"April 25, 2026","April 08, 2026","April 11, 2026",RSVHub-ensemble
Alaska,0,NA,NA,NA,0.0018568870617932547,0.0035315495410425815,0.005997640121655027,NA,NA,NA,0.0019,0.0035,0.006,wk inc rsv prop ed visits,prop_ed,2026-04-11,2026-04-11,2026-04-08,"April 11, 2026","April 08, 2026","April 11, 2026",RSVHub-ensemble
Alaska,1,NA,NA,NA,0.0011486725339440312,0.002810651873788056,0.005808513437311537,NA,NA,NA,0.0011,0.0028,0.0058,wk inc rsv prop ed visits,prop_ed,2026-04-18,2026-04-11,2026-04-08,"April 18, 2026","April 08, 2026","April 11, 2026",RSVHub-ensemble
Arizona,0,0.354057689957683,0.6373038419238295,1.1835642778585405,26.25,47.25,87.75,0.35,0.64,1.18,30,50,90,wk inc rsv hosp,hosp,2026-04-11,2026-04-11,2026-04-08,"April 11, 2026","April 08, 2026","April 11, 2026",RSVHub-ensemble
Arizona,1,0.25964230596896754,0.5192846119379351,1.1127527398670038,19.25,38.5,82.5,0.26,0.52,1.11,20,40,80,wk inc rsv hosp,hosp,2026-04-18,2026-04-11,2026-04-08,"April 18, 2026","April 08, 2026","April 11, 2026",RSVHub-ensemble
Arizona,2,0.1618549439806551,0.36417362395647396,0.883458235894409,12,27,65.5,0.16,0.36,0.88,10,30,70,wk inc rsv hosp,hosp,2026-04-25,2026-04-11,2026-04-08,"April 25, 2026","April 08, 2026","April 11, 2026",RSVHub-ensemble
Arizona,0,NA,NA,NA,0.0010227633324903327,0.0017738549625579002,0.0028560571400791227,NA,NA,NA,0.001,0.0018,0.0029,wk inc rsv prop ed visits,prop_ed,2026-04-11,2026-04-11,2026-04-08,"April 11, 2026","April 08, 2026","April 11, 2026",RSVHub-ensemble
Arizona,1,NA,NA,NA,6.364244747909558e-4,0.0014192043486076164,0.0026982963031533993,NA,NA,NA,6.4e-4,0.0014,0.0027,wk inc rsv prop ed visits,prop_ed,2026-04-18,2026-04-11,2026-04-08,"April 18, 2026","April 08, 2026","April 11, 2026",RSVHub-ensemble
