location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.10,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.90,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.10_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.90_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.10,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.90,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.10_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.90_rounded,rate_quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
Texas,TX,1,wk inc covid hosp,hosp,2025-07-05,2025-07-12,CMU-TimeSeries,217.8119319622485,225.73633975533426,254.73350703667472,306.2264336252056,389.5372247990893,489.1487225881354,568.9166703241301,220,230,250,310,390,490,570,0.7166961104559988,0.7427708630731149,0.8381841713228239,1.0076183243075774,1.2817471080497058,1.6095123153041886,1.8719836012728264,0.72,0.74,0.84,1.01,1.28,1.61,1.87,Carnegie Mellon Delphi Group,2025-07-02,AR ensemble with auxiliary data
Texas,TX,2,wk inc covid hosp,hosp,2025-07-05,2025-07-19,CMU-TimeSeries,113.92459689745507,187.28561542026176,240.33770496685815,292.07218914781635,371.76605940112023,536.1461718760855,578.8421642136973,110,190,240,290,370,540,580,0.374861536492065,0.616251235213891,0.7908157133261325,0.9610446959852026,1.2232722347759948,1.764154390247378,1.9046427985946726,0.37,0.62,0.79,0.96,1.22,1.76,1.9,Carnegie Mellon Delphi Group,2025-07-02,AR ensemble with auxiliary data
Texas,TX,0,wk inc covid prop ed visits,prop_ed,2025-07-05,2025-07-05,CMU-TimeSeries,0.00442960061623916,0.005092541262560573,0.00567683261581182,0.00634945105466799,0.00707213920764911,0.007847007353542067,0.00874012057274277,0.0044,0.0051,0.0057,0.0063,0.0071,0.0078,0.0087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnegie Mellon Delphi Group,2025-07-02,AR ensemble with auxiliary data
Texas,TX,1,wk inc covid prop ed visits,prop_ed,2025-07-05,2025-07-12,CMU-TimeSeries,0.00381173258211628,0.004559725289339955,0.005342115181549,0.00641229612343477,0.00765753649969055,0.009023248374741335,0.01064004086200957,0.0038,0.0046,0.0053,0.0064,0.0077,0.009,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnegie Mellon Delphi Group,2025-07-02,AR ensemble with auxiliary data
Texas,TX,2,wk inc covid prop ed visits,prop_ed,2025-07-05,2025-07-19,CMU-TimeSeries,0.00341707116626641,0.004125272611060649,0.00491405711341557,0.00622702329773005,0.00825489488276464,0.010452143736643951,0.01277913341981376,0.0034,0.0041,0.0049,0.0062,0.0083,0.01,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnegie Mellon Delphi Group,2025-07-02,AR ensemble with auxiliary data
Texas,TX,0,wk inc covid hosp,hosp,2025-07-05,2025-07-05,CMU-climate_baseline,1.5,4.333333333333334,15.166666666666668,163.5,347.87500000000006,532.9166666666667,1147.4583333333323,2,4,20,160,350,530,1100,0.004935653230743697,0.014258553777704014,0.049904938221964054,0.537986202151063,1.1446602450966425,1.7535279117003304,3.775637620040293,0,0.01,0.05,0.54,1.14,1.75,3.78,Carnegie Mellon Delphi Group,2025-07-02,climatological baseline
Texas,TX,1,wk inc covid hosp,hosp,2025-07-05,2025-07-12,CMU-climate_baseline,1.5,6.583333333333334,23.333333333333336,165.5,374.2083333333335,577.5,1305.6874999999995,2,7,20,170,370,580,1300,0.004935653230743697,0.02166203362381956,0.07677682803379085,0.5445670731253879,1.231308379591921,1.9002264938363231,4.296280485144439,0,0.02,0.08,0.54,1.23,1.9,4.3,Carnegie Mellon Delphi Group,2025-07-02,climatological baseline
Texas,TX,2,wk inc covid hosp,hosp,2025-07-05,2025-07-19,CMU-climate_baseline,4,7.133333333333334,26.000000000000004,175.00000000000003,476.9166666666668,783.8666666666666,4244.233333333334,4,7,30,180,480,780,4200,0.013161741948649858,0.023471773141758915,0.0855513226662241,0.5758262102534314,1.5692635244192326,2.5792626972037502,13.96537597579784,0.01,0.02,0.09,0.58,1.57,2.58,13.97,Carnegie Mellon Delphi Group,2025-07-02,climatological baseline
Texas,TX,0,wk inc covid hosp,hosp,2025-07-05,2025-07-05,CovidHub-baseline,139.875,173.5,232.75,269,305.25,364.5,398.125,140,170,230,270,310,360,400,0.4602496637668498,0.5708905570226877,0.7658488596370636,0.8851271460467031,1.0044054324563423,1.1993637350707185,1.3100046283265563,0.46,0.57,0.77,0.89,1,1.2,1.31,CovidHub-hub-models,2025-07-02,CovidHub baseline model
Texas,TX,1,wk inc covid hosp,hosp,2025-07-05,2025-07-12,CovidHub-baseline,84.92979579795795,144.4943969439694,204.50664756647564,269,333.41933669336686,392.92315123151235,452.6507855078554,80,140,200,270,330,390,450,0.27945601401106246,0.47544949140057646,0.6729159305133587,0.8851271460467031,1.0970948175620243,1.292888280539872,1.4894182079270124,0.28,0.48,0.67,0.89,1.1,1.29,1.49,CovidHub-hub-models,2025-07-02,CovidHub baseline model
