location_name,horizon,rate_quantile_0.025,rate_quantile_0.5,rate_quantile_0.975,count_quantile_0.025,count_quantile_0.5,count_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.5_rounded,rate_quantile_0.975_rounded,count_quantile_0.025_rounded,count_quantile_0.5_rounded,count_quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,0.2976247990631672,0.4754174397718698,0.7126852762801117,1004.4625,1604.5,2405.2620500000003,0.3,0.48,0.71,1000,1600,2400,wk inc covid hosp,hosp,2026-05-02,2026-05-02,2026-04-29,"May 02, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
United States,1,0.23542794697227115,0.4726025655569538,0.9162396099042617,794.5525538530317,1595,3092.243428841866,0.24,0.47,0.92,790,1600,3100,wk inc covid hosp,hosp,2026-05-09,2026-05-02,2026-04-29,"May 09, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
United States,2,0.23385607066106903,0.5022328204508066,1.1049216866733407,789.2475832517555,1695,3729.032,0.23,0.5,1.1,790,1700,3700,wk inc covid hosp,hosp,2026-05-16,2026-05-02,2026-04-29,"May 16, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
United States,0,NA,NA,NA,8.930763277097323e-4,0.00138817554898041,0.00234616529814435,NA,NA,NA,8.9e-4,0.0014,0.0023,wk inc covid prop ed visits,prop_ed,2026-05-02,2026-05-02,2026-04-29,"May 02, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
United States,1,NA,NA,NA,7.426807552084287e-4,0.00133332762981135,0.00247260828423122,NA,NA,NA,7.4e-4,0.0013,0.0025,wk inc covid prop ed visits,prop_ed,2026-05-09,2026-05-02,2026-04-29,"May 09, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
United States,2,NA,NA,NA,5.849611204165773e-4,0.00132102202023864,0.0028991394311019,NA,NA,NA,5.8e-4,0.0013,0.0029,wk inc covid prop ed visits,prop_ed,2026-05-16,2026-05-02,2026-04-29,"May 16, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Alabama,0,0.7062478015584928,1.1574616747764186,1.7852374983839676,36,59,91,0.71,1.16,1.79,40,60,90,wk inc covid hosp,hosp,2026-05-02,2026-05-02,2026-04-29,"May 02, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Alabama,1,0.5885398346320773,1.078989696825475,1.8637094763349114,30,55,95,0.59,1.08,1.86,30,60,100,wk inc covid hosp,hosp,2026-05-09,2026-05-02,2026-04-29,"May 09, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Alabama,2,0.4816584012786224,1.0691806995816069,2.0108444349929306,24.5518675,54.5,102.5,0.48,1.07,2.01,20,50,100,wk inc covid hosp,hosp,2026-05-16,2026-05-02,2026-04-29,"May 16, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Alabama,0,NA,NA,NA,9.5349849485375e-4,0.00154965577134392,0.00273100115439797,NA,NA,NA,9.5e-4,0.0015,0.0027,wk inc covid prop ed visits,prop_ed,2026-05-02,2026-05-02,2026-04-29,"May 02, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Alabama,1,NA,NA,NA,7.582240274397287e-4,0.00146827012011618,0.00309222081759312,NA,NA,NA,7.6e-4,0.0015,0.0031,wk inc covid prop ed visits,prop_ed,2026-05-09,2026-05-02,2026-04-29,"May 09, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Alabama,2,NA,NA,NA,6.22988653215884e-4,0.00142899147573562,0.00325680861148203,NA,NA,NA,6.2e-4,0.0014,0.0033,wk inc covid prop ed visits,prop_ed,2026-05-16,2026-05-02,2026-04-29,"May 16, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Alaska,0,0.08460085419216498,0.421519408861181,1.190866707621311,0.6021135853795994,3,8.47552935347871,0.08,0.42,1.19,1,3,8,wk inc covid hosp,hosp,2026-05-02,2026-05-02,2026-04-29,"May 02, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Alaska,1,0.05708768255329533,0.421519408861181,1.264558226583543,0.4062993163768837,3,9,0.06,0.42,1.26,0,3,9,wk inc covid hosp,hosp,2026-05-09,2026-05-02,2026-04-29,"May 09, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Alaska,2,0.03989122044082032,0.42770874177735185,1.4242252043775014,0.28391020391156674,3.0440501631910086,10.13636744432716,0.04,0.43,1.42,0,3,10,wk inc covid hosp,hosp,2026-05-16,2026-05-02,2026-04-29,"May 16, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Alaska,0,NA,NA,NA,0.00100707325208533,0.00188751949171113,0.00320649023223562,NA,NA,NA,0.001,0.0019,0.0032,wk inc covid prop ed visits,prop_ed,2026-05-02,2026-05-02,2026-04-29,"May 02, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Alaska,1,NA,NA,NA,8.768952638087483e-4,0.00178062378175804,0.00319441360714579,NA,NA,NA,8.8e-4,0.0018,0.0032,wk inc covid prop ed visits,prop_ed,2026-05-09,2026-05-02,2026-04-29,"May 09, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Alaska,2,NA,NA,NA,7.529046062050083e-4,0.00176576215526017,0.0039781452318299,NA,NA,NA,7.5e-4,0.0018,0.004,wk inc covid prop ed visits,prop_ed,2026-05-16,2026-05-02,2026-04-29,"May 16, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Arizona,0,0.1618549439806551,0.3474472777751851,0.6794022305764208,12,25.759901,50.3711938999619,0.16,0.35,0.68,10,30,50,wk inc covid hosp,hosp,2026-05-02,2026-05-02,2026-04-29,"May 02, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Arizona,1,0.1273858355403304,0.3592803173867548,0.9079491435868388,9.444444444444445,26.637208,67.31576716213428,0.13,0.36,0.91,9,30,70,wk inc covid hosp,hosp,2026-05-09,2026-05-02,2026-04-29,"May 09, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Arizona,2,0.11350926425696342,0.3559310110685702,0.9237250885344396,8.415629066272826,26.38888888888889,68.48540297748407,0.11,0.36,0.92,8,30,70,wk inc covid hosp,hosp,2026-05-16,2026-05-02,2026-04-29,"May 16, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Arizona,0,NA,NA,NA,7.80892506663224e-4,0.00151690465489909,0.00276063286626908,NA,NA,NA,7.8e-4,0.0015,0.0028,wk inc covid prop ed visits,prop_ed,2026-05-02,2026-05-02,2026-04-29,"May 02, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Arizona,1,NA,NA,NA,6.380758095383881e-4,0.00157167007155349,0.00352533662671606,NA,NA,NA,6.4e-4,0.0016,0.0035,wk inc covid prop ed visits,prop_ed,2026-05-09,2026-05-02,2026-04-29,"May 09, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Arizona,2,NA,NA,NA,4.767189018132484e-4,0.00135442608019467,0.00345369916040056,NA,NA,NA,4.8e-4,0.0014,0.0035,wk inc covid prop ed visits,prop_ed,2026-05-16,2026-05-02,2026-04-29,"May 16, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Arkansas,0,0.1770455185602613,0.4569226390807239,0.9138452781614478,5.424632197761952,14,28,0.18,0.46,0.91,5,10,30,wk inc covid hosp,hosp,2026-05-02,2026-05-02,2026-04-29,"May 02, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Arkansas,1,0.15613200390853954,0.42428530771781503,1.1423065977018096,4.783847128076713,13,35,0.16,0.42,1.14,5,10,40,wk inc covid hosp,hosp,2026-05-09,2026-05-02,2026-04-29,"May 09, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Arkansas,2,0.11604384484589812,0.42428530771781503,1.2074407694084053,3.5555555555555554,13,36.99569538888888,0.12,0.42,1.21,4,10,40,wk inc covid hosp,hosp,2026-05-16,2026-05-02,2026-04-29,"May 16, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Arkansas,0,NA,NA,NA,8.507638483897826e-4,0.00169578952339468,0.00312139097402744,NA,NA,NA,8.5e-4,0.0017,0.0031,wk inc covid prop ed visits,prop_ed,2026-05-02,2026-05-02,2026-04-29,"May 02, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Arkansas,1,NA,NA,NA,7.501902865541429e-4,0.00163711670159218,0.00377061455006943,NA,NA,NA,7.5e-4,0.0016,0.0038,wk inc covid prop ed visits,prop_ed,2026-05-09,2026-05-02,2026-04-29,"May 09, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
Arkansas,2,NA,NA,NA,8.050814609720514e-4,0.00180276435576799,0.00382356150317409,NA,NA,NA,8.1e-4,0.0018,0.0038,wk inc covid prop ed visits,prop_ed,2026-05-16,2026-05-02,2026-04-29,"May 16, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
California,0,0.22199890702609626,0.3773083090154665,0.5577907675978554,86.19814187809251,146.50196069873084,216.58002,0.22,0.38,0.56,90,150,220,wk inc covid hosp,hosp,2026-05-02,2026-05-02,2026-04-29,"May 02, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
California,1,0.19101245779815826,0.38406828306844487,0.8032069386301179,74.16666666666666,149.12673579477377,311.8706599999999,0.19,0.38,0.8,70,150,310,wk inc covid hosp,hosp,2026-05-09,2026-05-02,2026-04-29,"May 09, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
California,2,0.177434353133604,0.3854106629233771,0.8911053087392733,68.89453533958199,149.647957501402,346,0.18,0.39,0.89,70,150,350,wk inc covid hosp,hosp,2026-05-16,2026-05-02,2026-04-29,"May 16, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
California,0,NA,NA,NA,2.6101547221082705e-4,6.808226580404883e-4,0.00149708483049486,NA,NA,NA,2.6e-4,6.8e-4,0.0015,wk inc covid prop ed visits,prop_ed,2026-05-02,2026-05-02,2026-04-29,"May 02, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
California,1,NA,NA,NA,1.6759624985940213e-4,6.821959134652712e-4,0.0019913373673169,NA,NA,NA,1.7e-4,6.8e-4,0.002,wk inc covid prop ed visits,prop_ed,2026-05-09,2026-05-02,2026-04-29,"May 09, 2026","April 29, 2026","May 02, 2026",CovidHub-ensemble
