location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.10,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.90,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.10_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.90_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.10,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.90,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.10_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.90_rounded,rate_quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2026-05-02,2026-05-02,CEPH-Rtrend_covid,1060,1224,1404,1639,1906,2174,2477,1100,1200,1400,1600,1900,2200,2500,0.3140807018748407,0.3626743199007595,0.4160087787096947,0.485639877710249,0.5647526582768363,0.644161741392362,0.7339414137207363,0.31,0.36,0.42,0.49,0.56,0.64,0.73,CEPH Lab at Indiana University,2026-04-29,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2026-05-02,2026-05-09,CEPH-Rtrend_covid,779,997,1273,1672,2181,2751,3460,780,1000,1300,1700,2200,2800,3500,0.2308196856231141,0.29541364129171344,0.3771931447987474,0.4954178618252205,0.6462358592349318,0.8151283121298932,1.0252068193273103,0.23,0.3,0.38,0.5,0.65,0.82,1.03,CEPH Lab at Indiana University,2026-04-29,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2026-05-02,2026-05-16,CEPH-Rtrend_covid,583,824,1159,1695,2455,3393,4653,580,820,1200,1700,2500,3400,4700,0.1727443860311624,0.2441533003253479,0.34341465421975514,0.5022328204508066,0.7274227576440887,1.0053545485484288,1.3786957602109755,0.17,0.24,0.34,0.5,0.73,1.01,1.38,CEPH Lab at Indiana University,2026-04-29,Rtrend COVID
United States,US,0,wk inc covid hosp,hosp,2026-05-02,2026-05-02,CFA-EpiAutoGP,1412.806,1527.7004,1678.6618,1831.4681,1993.4619,2139.0504,2333.5241,1400,1500,1700,1800,2000,2100,2300,0.41861801895564743,0.45266152253441033,0.4973917701457392,0.5426686663296048,0.5906678421818431,0.63380608582798,0.6914291388394869,0.42,0.45,0.5,0.54,0.59,0.63,0.69,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-04-29,EpiAutoGP
United States,US,1,wk inc covid hosp,hosp,2026-05-02,2026-05-09,CFA-EpiAutoGP,1118.5669,1323.1711,1564.9572,1881.813,2205.8935,2516.5074,2945.4381,1100,1300,1600,1900,2200,2500,2900,0.3314342236282687,0.3920589696117972,0.46370080733970337,0.5575859885256601,0.6536118667369331,0.7456475570426704,0.8727408167706578,0.33,0.39,0.46,0.56,0.65,0.75,0.87,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-04-29,EpiAutoGP
United States,US,2,wk inc covid hosp,hosp,2026-05-02,2026-05-16,CFA-EpiAutoGP,855.74842,1117.6982,1396.2984,1877.5936,2420.9969,3030.0728,3729.032,860,1100,1400,1900,2400,3000,3700,0.2535604380961189,0.3311768256040058,0.4137267749987897,0.5563357695506689,0.7173475524422771,0.8978182941093057,1.1049216866733407,0.25,0.33,0.41,0.56,0.72,0.9,1.1,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-04-29,EpiAutoGP
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-05-02,2026-05-02,CFA_Pyrenew-Pyrenew_E_COVID,0.00116818334566574,0.001230363185395202,0.00128778705765801,0.00135897150625607,0.00143204643079123,0.001501879274091187,0.00158536009319259,0.0012,0.0012,0.0013,0.0014,0.0014,0.0015,0.0016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-29,Pyrenew_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-05-02,2026-05-09,CFA_Pyrenew-Pyrenew_E_COVID,7.687079243983703e-4,8.916984934573908e-4,0.00103404119440625,0.0012141821289779,0.00144522356832176,0.0016979280728233537,0.00210390375343581,7.7e-4,8.9e-4,0.001,0.0012,0.0014,0.0017,0.0021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-29,Pyrenew_ED_Visits_COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-05-02,2026-05-02,CFA_Pyrenew-Pyrenew_HE_COVID,0.00117401936243438,0.001230386363696603,0.00128630763886873,0.00135732631516754,0.00143107919336432,0.0015022326834141187,0.00157725326936973,0.0012,0.0012,0.0013,0.0014,0.0014,0.0015,0.0016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-29,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-05-02,2026-05-09,CFA_Pyrenew-Pyrenew_HE_COVID,7.600621333618017e-4,8.931379329789283e-4,0.0010187487286759,0.00120119225344001,0.00142110007066889,0.0016517861086501836,0.00203256895908087,7.6e-4,8.9e-4,0.001,0.0012,0.0014,0.0017,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-29,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2026-05-02,2026-05-02,CFA_Pyrenew-Pyrenew_HE_COVID,948.925,1081.8999999999999,1190,1327,1472,1612,1783.025,950,1100,1200,1300,1500,1600,1800,0.28116889625149366,0.3205697276965945,0.3526000332368495,0.393193482441428,0.4361573520375147,0.4776397088889087,0.5283148523211207,0.28,0.32,0.35,0.39,0.44,0.48,0.53,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-29,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid hosp,hosp,2026-05-02,2026-05-09,CFA_Pyrenew-Pyrenew_HE_COVID,698,849,972.75,1165,1397.25,1636.1000000000001,2001.199999999999,700,850,970,1200,1400,1600,2000,0.20681917915909326,0.2515608640488111,0.28822830447995407,0.3451924695133863,0.4140087365043597,0.48478060031832737,0.5929606609357839,0.21,0.25,0.29,0.35,0.41,0.48,0.59,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-29,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2026-05-02,2026-05-02,CFA_Pyrenew-Pyrenew_H_COVID,1092.975,1244,1394,1582,1808,2022.1000000000001,2313.025,1100,1200,1400,1600,1800,2000,2300,0.32385127842608874,0.36860037087953007,0.4130457532203094,0.46875063242075293,0.5357150084808605,0.5991533842085995,0.6853552032585412,0.32,0.37,0.41,0.47,0.54,0.6,0.69,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-29,Pyrenew_Hospital_Admissions_COVID
United States,US,1,wk inc covid hosp,hosp,2026-05-02,2026-05-09,CFA_Pyrenew-Pyrenew_H_COVID,715.95,926,1198.75,1566,2068.25,2718.2000000000003,3820.4499999999975,720,930,1200,1600,2100,2700,3800,0.21213780991253986,0.27437616031707784,0.35519268054006164,0.4640097916377364,0.6128277468421126,0.8054095885247096,1.1320090730922026,0.21,0.27,0.36,0.46,0.61,0.81,1.13,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-04-29,Pyrenew_Hospital_Admissions_COVID
United States,US,0,wk inc covid hosp,hosp,2026-05-02,2026-05-02,CMU-TimeSeries,311.92546110089285,713.5123407096985,1045.920034985059,1393.702695302238,1769.9883278896732,2359.7213618009496,3178.7730803880377,310,710,1000,1400,1800,2400,3200,0.09242430920302053,0.21141552525137983,0.30990877235194836,0.41295766108055115,0.524452053145155,0.6991914542863182,0.9418785662161552,0.09,0.21,0.31,0.41,0.52,0.7,0.94,Carnegie Mellon Delphi Group,2026-04-29,AR ensemble with auxiliary data
United States,US,1,wk inc covid hosp,hosp,2026-05-02,2026-05-09,CMU-TimeSeries,196.99409201004005,548.4270981722982,886.402892455982,1269.4357507166033,1713.321170556133,2236.953759100696,3279.206725012541,200,550,890,1300,1700,2200,3300,0.05836985158840598,0.16250034709541283,0.2626434364211923,0.37613704865102465,0.5076614299861264,0.6628151006791605,0.9716373111175819,0.06,0.16,0.26,0.38,0.51,0.66,0.97,Carnegie Mellon Delphi Group,2026-04-29,AR ensemble with auxiliary data
United States,US,2,wk inc covid hosp,hosp,2026-05-02,2026-05-16,CMU-TimeSeries,146.00705885093222,449.3143909746202,725.8167299329818,1101.684631444481,1580.7447073703108,2293.4142683655105,3262.6292764343357,150,450,730,1100,1600,2300,3300,0.04326226370054903,0.13313299932054276,0.21506134714137046,0.32643196442340366,0.4683786860149123,0.6795444934886924,0.9667253708489623,0.04,0.13,0.22,0.33,0.47,0.68,0.97,Carnegie Mellon Delphi Group,2026-04-29,AR ensemble with auxiliary data
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-05-02,2026-05-02,CMU-TimeSeries,8.930763277097323e-4,0.0010652293323823766,0.00122051506778712,0.00138817554898041,0.00159964335331525,0.0018921065054439351,0.00234616529814435,8.9e-4,0.0011,0.0012,0.0014,0.0016,0.0019,0.0023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnegie Mellon Delphi Group,2026-04-29,AR ensemble with auxiliary data
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-05-02,2026-05-09,CMU-TimeSeries,7.426807552084287e-4,9.576821027264093e-4,0.00113816748760387,0.00133332762981135,0.00165286417151083,0.0020295170273130795,0.00263322549708267,7.4e-4,9.6e-4,0.0011,0.0013,0.0017,0.002,0.0026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnegie Mellon Delphi Group,2026-04-29,AR ensemble with auxiliary data
United States,US,2,wk inc covid prop ed visits,prop_ed,2026-05-02,2026-05-16,CMU-TimeSeries,6.500978491741662e-4,8.68541527724612e-4,0.00108446948072542,0.00134279092505968,0.00173812406108475,0.002353108829375747,0.00326028604601926,6.5e-4,8.7e-4,0.0011,0.0013,0.0017,0.0024,0.0033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnegie Mellon Delphi Group,2026-04-29,AR ensemble with auxiliary data
United States,US,0,wk inc covid hosp,hosp,2026-05-02,2026-05-02,CovidHub-baseline,0,422.80000000000007,994.25,1604,2213.75,2785.2,3519.2749999999983,0,420,990,1600,2200,2800,3500,0,0.12527671769121007,0.29459880928213245,0.4752692884974005,0.6559397677126686,0.8252618593035909,1.0427701529156412,0,0.13,0.29,0.48,0.66,0.83,1.04,CovidHub-hub-models,2026-04-29,CovidHub baseline model
United States,US,1,wk inc covid hosp,hosp,2026-05-02,2026-05-09,CovidHub-baseline,0,5.531505315053177,775.8342608426084,1604,2457.120441204412,3281.812197121971,4567.038658636586,0,6,780,1600,2500,3300,4600,0,0.0016389991243172773,0.22988166904150445,0.4752692884974005,0.7280510497778303,0.9724093191447943,1.353225195654821,0,0,0.23,0.48,0.73,0.97,1.35,CovidHub-hub-models,2026-04-29,CovidHub baseline model
United States,US,2,wk inc covid hosp,hosp,2026-05-02,2026-05-16,CovidHub-baseline,0,0,551.9670371703712,1604,2677.384368843688,3731.5360803608028,5163.653313283111,0,0,550,1600,2700,3700,5200,0,0,0.16354924004362878,0.4752692884974005,0.7933158129765595,1.1056636520669936,1.5300036385606666,0,0,0.16,0.48,0.79,1.11,1.53,CovidHub-hub-models,2026-04-29,CovidHub baseline model
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-05-02,2026-05-02,CovidHub-baseline,0,0,7.000000000000005e-4,0.0015,0.00229999999999999,0.0037000000000000036,0.00524499999999999,0,0,7e-4,0.0015,0.0023,0.0037,0.0052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CovidHub-hub-models,2026-04-29,CovidHub baseline model
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-05-02,2026-05-09,CovidHub-baseline,0,0,2.0000000000000052e-4,0.0015,0.00299552895528955,0.004621883018830193,0.00668758697586975,0,0,2e-4,0.0015,0.003,0.0046,0.0067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CovidHub-hub-models,2026-04-29,CovidHub baseline model
United States,US,2,wk inc covid prop ed visits,prop_ed,2026-05-02,2026-05-16,CovidHub-baseline,0,0,0,0.0015,0.00343426734267342,0.005381339913399133,0.00769586095860958,0,0,0,0.0015,0.0034,0.0054,0.0077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CovidHub-hub-models,2026-04-29,CovidHub baseline model
