location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc rsv hosp,hosp,2026-05-23,2026-05-23,CEPH-Rtrend_rsv,444,827,1125,1503,2402,440,830,1100,1500,2400,CEPH Lab at Indiana University,2026-05-20,Rtrend RSV
United States,US,1,wk inc rsv hosp,hosp,2026-05-23,2026-05-30,CEPH-Rtrend_rsv,266,598,898,1313,2444,270,600,900,1300,2400,CEPH Lab at Indiana University,2026-05-20,Rtrend RSV
United States,US,2,wk inc rsv hosp,hosp,2026-05-23,2026-06-06,CEPH-Rtrend_rsv,153,422,705,1122,2349,150,420,710,1100,2300,CEPH Lab at Indiana University,2026-05-20,Rtrend RSV
United States,US,0,wk inc rsv prop ed visits,prop_ed,2026-05-23,2026-05-23,CFA_Pyrenew-Pyrenew_E_RSV,5.794863974303801e-4,6.405044692374554e-4,6.718369588584979e-4,7.028771549178869e-4,7.734044092938897e-4,5.8e-4,6.4e-4,6.7e-4,7e-4,7.7e-4,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-05-20,Pyrenew_ED_Visits_RSV
United States,US,1,wk inc rsv prop ed visits,prop_ed,2026-05-23,2026-05-30,CFA_Pyrenew-Pyrenew_E_RSV,3.930822638830401e-4,4.865612866681733e-4,5.418188899118722e-4,6.024503910295906e-4,7.662112978700229e-4,3.9e-4,4.9e-4,5.4e-4,6e-4,7.7e-4,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-05-20,Pyrenew_ED_Visits_RSV
United States,US,0,wk inc rsv hosp,hosp,2026-05-23,2026-05-23,CFA_Pyrenew-Pyrenew_HE_RSV,699.975,898,1009,1130,1398,700,900,1000,1100,1400,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-05-20,Pyrenew_Hospital_Admissions_ED_Visits_RSV
United States,US,1,wk inc rsv hosp,hosp,2026-05-23,2026-05-30,CFA_Pyrenew-Pyrenew_HE_RSV,546.9749999999999,701,803.5,914.25,1214.0249999999999,550,700,800,910,1200,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-05-20,Pyrenew_Hospital_Admissions_ED_Visits_RSV
United States,US,0,wk inc rsv prop ed visits,prop_ed,2026-05-23,2026-05-23,CFA_Pyrenew-Pyrenew_HE_RSV,5.759034211775743e-4,6.351960580759905e-4,6.68566842153419e-4,7.028071448873149e-4,7.754315688039575e-4,5.8e-4,6.4e-4,6.7e-4,7e-4,7.8e-4,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-05-20,Pyrenew_Hospital_Admissions_ED_Visits_RSV
United States,US,1,wk inc rsv prop ed visits,prop_ed,2026-05-23,2026-05-30,CFA_Pyrenew-Pyrenew_HE_RSV,3.8089947862486806e-4,4.7516564432337194e-4,5.352713748426839e-4,6.026589304658118e-4,7.610178748847152e-4,3.8e-4,4.8e-4,5.4e-4,6e-4,7.6e-4,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-05-20,Pyrenew_Hospital_Admissions_ED_Visits_RSV
United States,US,0,wk inc rsv hosp,hosp,2026-05-23,2026-05-23,CFA_Pyrenew-Pyrenew_H_RSV,675,826,923,1030.25,1280.0749999999996,680,830,920,1000,1300,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-05-20,Pyrenew_Hospital_Admissions_RSV
