week_ending_date,location,location_name,target,target_data_type,count_value,rate_value
2024-11-16,28,Mississippi,wk inc rsv hosp,hosp,46,1.57
2024-11-16,30,Montana,wk inc rsv hosp,hosp,0,0
2024-11-16,37,North Carolina,wk inc rsv hosp,hosp,62,0.58
2024-11-16,38,North Dakota,wk inc rsv hosp,hosp,0,0
2024-11-16,31,Nebraska,wk inc rsv hosp,hosp,2,0.1
2024-11-16,33,New Hampshire,wk inc rsv hosp,hosp,4,0.29
2024-11-16,34,New Jersey,wk inc rsv hosp,hosp,159,1.71
2024-11-16,35,New Mexico,wk inc rsv hosp,hosp,7,0.33
2024-11-16,32,Nevada,wk inc rsv hosp,hosp,12,0.38
2024-11-16,36,New York,wk inc rsv hosp,hosp,265,1.36
2024-11-16,39,Ohio,wk inc rsv hosp,hosp,132,1.12
2024-11-16,40,Oklahoma,wk inc rsv hosp,hosp,6,0.15
2024-11-16,41,Oregon,wk inc rsv hosp,hosp,4,0.09
2024-11-16,42,Pennsylvania,wk inc rsv hosp,hosp,162,1.25
2024-11-16,72,Puerto Rico,wk inc rsv hosp,hosp,134,4.08
2024-11-16,44,Rhode Island,wk inc rsv hosp,hosp,12,1.1
2024-11-16,45,South Carolina,wk inc rsv hosp,hosp,73,1.37
2024-11-16,46,South Dakota,wk inc rsv hosp,hosp,0,0
2024-11-16,47,Tennessee,wk inc rsv hosp,hosp,129,1.82
2024-11-16,48,Texas,wk inc rsv hosp,hosp,559,1.84
2024-11-16,US,United States,wk inc rsv hosp,hosp,3444,1.02
2024-11-16,49,Utah,wk inc rsv hosp,hosp,2,0.06
2024-11-16,51,Virginia,wk inc rsv hosp,hosp,51,0.59
2024-11-16,50,Vermont,wk inc rsv hosp,hosp,3,0.46
2024-11-16,53,Washington,wk inc rsv hosp,hosp,27,0.35
2024-11-16,55,Wisconsin,wk inc rsv hosp,hosp,7,0.12
2024-11-16,54,West Virginia,wk inc rsv hosp,hosp,10,0.57
2024-11-16,56,Wyoming,wk inc rsv hosp,hosp,3,0.52
2024-11-23,02,Alaska,wk inc rsv hosp,hosp,4,0.56
2024-11-23,01,Alabama,wk inc rsv hosp,hosp,111,2.18
2024-11-23,05,Arkansas,wk inc rsv hosp,hosp,15,0.49
2024-11-23,04,Arizona,wk inc rsv hosp,hosp,31,0.42
2024-11-23,06,California,wk inc rsv hosp,hosp,214,0.55
2024-11-23,08,Colorado,wk inc rsv hosp,hosp,27,0.46
2024-11-23,09,Connecticut,wk inc rsv hosp,hosp,35,0.97
2024-11-23,11,District of Columbia,wk inc rsv hosp,hosp,6,0.89
2024-11-23,10,Delaware,wk inc rsv hosp,hosp,43,4.18
2024-11-23,12,Florida,wk inc rsv hosp,hosp,527,2.34
2024-11-23,13,Georgia,wk inc rsv hosp,hosp,332,3.03
2024-11-23,15,Hawaii,wk inc rsv hosp,hosp,25,1.79
2024-11-23,19,Iowa,wk inc rsv hosp,hosp,9,0.28
2024-11-23,16,Idaho,wk inc rsv hosp,hosp,3,0.15
2024-11-23,17,Illinois,wk inc rsv hosp,hosp,155,1.24
2024-11-23,18,Indiana,wk inc rsv hosp,hosp,67,0.98
2024-11-23,20,Kansas,wk inc rsv hosp,hosp,7,0.24
2024-11-23,21,Kentucky,wk inc rsv hosp,hosp,54,1.2
2024-11-23,22,Louisiana,wk inc rsv hosp,hosp,94,2.06
2024-11-23,25,Massachusetts,wk inc rsv hosp,hosp,125,1.79
2024-11-23,24,Maryland,wk inc rsv hosp,hosp,101,1.64
2024-11-23,23,Maine,wk inc rsv hosp,hosp,0,0
2024-11-23,26,Michigan,wk inc rsv hosp,hosp,65,0.65
2024-11-23,27,Minnesota,wk inc rsv hosp,hosp,15,0.26
2024-11-23,29,Missouri,wk inc rsv hosp,hosp,59,0.95
2024-11-23,28,Mississippi,wk inc rsv hosp,hosp,67,2.29
2024-11-23,30,Montana,wk inc rsv hosp,hosp,0,0
2024-11-23,37,North Carolina,wk inc rsv hosp,hosp,79,0.74
2024-11-23,38,North Dakota,wk inc rsv hosp,hosp,1,0.13
2024-11-23,31,Nebraska,wk inc rsv hosp,hosp,2,0.1
2024-11-23,33,New Hampshire,wk inc rsv hosp,hosp,7,0.5
2024-11-23,34,New Jersey,wk inc rsv hosp,hosp,205,2.21
2024-11-23,35,New Mexico,wk inc rsv hosp,hosp,4,0.19
2024-11-23,32,Nevada,wk inc rsv hosp,hosp,22,0.69
2024-11-23,36,New York,wk inc rsv hosp,hosp,404,2.07
2024-11-23,39,Ohio,wk inc rsv hosp,hosp,175,1.49
2024-11-23,40,Oklahoma,wk inc rsv hosp,hosp,11,0.27
2024-11-23,41,Oregon,wk inc rsv hosp,hosp,6,0.14
2024-11-23,42,Pennsylvania,wk inc rsv hosp,hosp,176,1.36
2024-11-23,72,Puerto Rico,wk inc rsv hosp,hosp,200,6.09
2024-11-23,44,Rhode Island,wk inc rsv hosp,hosp,18,1.65
2024-11-23,45,South Carolina,wk inc rsv hosp,hosp,112,2.1
2024-11-23,46,South Dakota,wk inc rsv hosp,hosp,0,0
2024-11-23,47,Tennessee,wk inc rsv hosp,hosp,145,2.04
2024-11-23,48,Texas,wk inc rsv hosp,hosp,625,2.06
2024-11-23,US,United States,wk inc rsv hosp,hosp,4523,1.34
2024-11-23,49,Utah,wk inc rsv hosp,hosp,3,0.09
2024-11-23,51,Virginia,wk inc rsv hosp,hosp,70,0.81
2024-11-23,50,Vermont,wk inc rsv hosp,hosp,0,0
2024-11-23,53,Washington,wk inc rsv hosp,hosp,38,0.49
2024-11-23,55,Wisconsin,wk inc rsv hosp,hosp,11,0.19
2024-11-23,54,West Virginia,wk inc rsv hosp,hosp,13,0.73
2024-11-23,56,Wyoming,wk inc rsv hosp,hosp,2,0.34
2024-11-30,02,Alaska,wk inc rsv hosp,hosp,13,1.83
2024-11-30,01,Alabama,wk inc rsv hosp,hosp,130,2.55
2024-11-30,05,Arkansas,wk inc rsv hosp,hosp,25,0.82
2024-11-30,04,Arizona,wk inc rsv hosp,hosp,21,0.28
2024-11-30,06,California,wk inc rsv hosp,hosp,328,0.84
2024-11-30,08,Colorado,wk inc rsv hosp,hosp,23,0.39
2024-11-30,09,Connecticut,wk inc rsv hosp,hosp,57,1.58
2024-11-30,11,District of Columbia,wk inc rsv hosp,hosp,2,0.3
2024-11-30,10,Delaware,wk inc rsv hosp,hosp,47,4.57
2024-11-30,12,Florida,wk inc rsv hosp,hosp,540,2.39
2024-11-30,13,Georgia,wk inc rsv hosp,hosp,402,3.66
2024-11-30,15,Hawaii,wk inc rsv hosp,hosp,19,1.36
2024-11-30,19,Iowa,wk inc rsv hosp,hosp,10,0.31
2024-11-30,16,Idaho,wk inc rsv hosp,hosp,3,0.15
2024-11-30,17,Illinois,wk inc rsv hosp,hosp,225,1.8
2024-11-30,18,Indiana,wk inc rsv hosp,hosp,59,0.86
2024-11-30,20,Kansas,wk inc rsv hosp,hosp,13,0.45
2024-11-30,21,Kentucky,wk inc rsv hosp,hosp,60,1.33
2024-11-30,22,Louisiana,wk inc rsv hosp,hosp,121,2.65
2024-11-30,25,Massachusetts,wk inc rsv hosp,hosp,146,2.09
2024-11-30,24,Maryland,wk inc rsv hosp,hosp,113,1.84
2024-11-30,23,Maine,wk inc rsv hosp,hosp,2,0.14
2024-11-30,26,Michigan,wk inc rsv hosp,hosp,109,1.09
2024-11-30,27,Minnesota,wk inc rsv hosp,hosp,23,0.4
2024-11-30,29,Missouri,wk inc rsv hosp,hosp,62,1
2024-11-30,28,Mississippi,wk inc rsv hosp,hosp,77,2.63
2024-11-30,30,Montana,wk inc rsv hosp,hosp,2,0.18
2024-11-30,37,North Carolina,wk inc rsv hosp,hosp,125,1.16
2024-11-30,38,North Dakota,wk inc rsv hosp,hosp,0,0
2024-11-30,31,Nebraska,wk inc rsv hosp,hosp,7,0.35
2024-11-30,33,New Hampshire,wk inc rsv hosp,hosp,6,0.43
2024-11-30,34,New Jersey,wk inc rsv hosp,hosp,283,3.05
2024-11-30,35,New Mexico,wk inc rsv hosp,hosp,6,0.29
2024-11-30,32,Nevada,wk inc rsv hosp,hosp,24,0.75
2024-11-30,36,New York,wk inc rsv hosp,hosp,563,2.88
2024-11-30,39,Ohio,wk inc rsv hosp,hosp,197,1.67
2024-11-30,40,Oklahoma,wk inc rsv hosp,hosp,15,0.37
2024-11-30,41,Oregon,wk inc rsv hosp,hosp,12,0.28
2024-11-30,42,Pennsylvania,wk inc rsv hosp,hosp,229,1.77
2024-11-30,72,Puerto Rico,wk inc rsv hosp,hosp,457,13.91
2024-11-30,44,Rhode Island,wk inc rsv hosp,hosp,35,3.2
2024-11-30,45,South Carolina,wk inc rsv hosp,hosp,121,2.27
2024-11-30,46,South Dakota,wk inc rsv hosp,hosp,0,0
2024-11-30,47,Tennessee,wk inc rsv hosp,hosp,140,1.97
2024-11-30,48,Texas,wk inc rsv hosp,hosp,764,2.51
2024-11-30,US,United States,wk inc rsv hosp,hosp,5826,1.73
2024-11-30,49,Utah,wk inc rsv hosp,hosp,11,0.32
2024-11-30,51,Virginia,wk inc rsv hosp,hosp,99,1.15
2024-11-30,50,Vermont,wk inc rsv hosp,hosp,3,0.46
2024-11-30,53,Washington,wk inc rsv hosp,hosp,44,0.57
2024-11-30,55,Wisconsin,wk inc rsv hosp,hosp,21,0.36
2024-11-30,54,West Virginia,wk inc rsv hosp,hosp,27,1.53
2024-11-30,56,Wyoming,wk inc rsv hosp,hosp,3,0.52
2024-12-07,02,Alaska,wk inc rsv hosp,hosp,3,0.42
2024-12-07,01,Alabama,wk inc rsv hosp,hosp,165,3.24
2024-12-07,05,Arkansas,wk inc rsv hosp,hosp,32,1.04
2024-12-07,04,Arizona,wk inc rsv hosp,hosp,62,0.84
2024-12-07,06,California,wk inc rsv hosp,hosp,429,1.1
2024-12-07,08,Colorado,wk inc rsv hosp,hosp,34,0.58
2024-12-07,09,Connecticut,wk inc rsv hosp,hosp,60,1.66
2024-12-07,11,District of Columbia,wk inc rsv hosp,hosp,4,0.59
2024-12-07,10,Delaware,wk inc rsv hosp,hosp,70,6.81
2024-12-07,12,Florida,wk inc rsv hosp,hosp,528,2.34
2024-12-07,13,Georgia,wk inc rsv hosp,hosp,410,3.74
2024-12-07,15,Hawaii,wk inc rsv hosp,hosp,19,1.36
2024-12-07,19,Iowa,wk inc rsv hosp,hosp,13,0.41
