location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2024-12-07,2024-12-07,CEPH-Rtrend_covid,5531,7087,8112,9269,11712,5500,7100,8100,9300,11700,1.65673343495111,2.1228114000178118,2.429835766465992,2.7763988805933533,3.5081652486254566,1.65,2.13,2.43,2.79,3.5,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2024-12-07,2024-12-14,CEPH-Rtrend_covid,4161,6422,8176,10378,15746,4200,6400,8200,10400,15700,1.2463691597959805,1.9236199817855775,2.4490060683710495,3.1085842682919216,4.716493340578589,1.26,1.92,2.46,3.12,4.7,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2024-12-07,2024-12-21,CEPH-Rtrend_covid,3116,5754,8100,11346,20467,3100,5800,8100,11300,20500,0.9333540740024694,1.7235299556515433,2.426241334858794,3.398535084605911,6.1306026420438196,0.93,1.74,2.43,3.38,6.14,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
United States,US,0,wk inc covid hosp,hosp,2024-12-07,2024-12-07,CMU-TimeSeries,6279.149791646469,9253.701510233088,10075.967813400666,17045.690308258498,42783.44998846578,6300,9300,10100,17000,42800,1.8808312064521786,2.7718164326633046,3.018114765133269,5.105797334209717,12.815182075293787,1.89,2.79,3.03,5.09,12.82,Carnegie Mellon Delphi Group,2024-12-04,AR ensemble with auxiliary data
United States,US,1,wk inc covid hosp,hosp,2024-12-07,2024-12-14,CMU-TimeSeries,6447.418596824601,10248.93505980578,12862.439154967456,23223.714886066253,45819.56074175937,6400,10200,12900,23200,45800,1.9312337657719918,3.069924676590651,3.8527631536899087,6.956337901919683,13.72460644650986,1.92,3.06,3.86,6.95,13.72,Carnegie Mellon Delphi Group,2024-12-04,AR ensemble with auxiliary data
United States,US,2,wk inc covid hosp,hosp,2024-12-07,2024-12-21,CMU-TimeSeries,6511.6308328941195,8255.34460612598,16407.009986258312,29052.356103170445,47200.67733227939,6500,8300,16400,29100,47200,1.950467640013421,2.472772631714376,4.9144896061853,8.70222558673448,14.138300540359106,1.95,2.49,4.91,8.72,14.14,Carnegie Mellon Delphi Group,2024-12-04,AR ensemble with auxiliary data
United States,US,0,wk inc covid hosp,hosp,2024-12-07,2024-12-07,CMU-climate_baseline,1522.3271482416417,15790.37418862902,25331.28197541031,35384.675922862225,50631.427298140654,1500,15800,25300,35400,50600,0.45599173484463973,4.72978500609125,7.587630048605435,10.598983128966799,15.165933549832936,0.45,4.73,7.58,10.6,15.16,Carnegie Mellon Delphi Group,2024-12-04,climatological baseline
United States,US,1,wk inc covid hosp,hosp,2024-12-07,2024-12-14,CMU-climate_baseline,1526.123106868932,14927.664022201974,26502.02656312473,35982.11067311774,51155.13688140906,1500,14900,26500,36000,51200,0.45712876098376887,4.471372281919866,7.9383101611085145,10.777936324763218,15.322803406423981,0.45,4.46,7.94,10.78,15.34,Carnegie Mellon Delphi Group,2024-12-04,climatological baseline
United States,US,2,wk inc covid hosp,hosp,2024-12-07,2024-12-21,CMU-climate_baseline,1526.5067018364691,12641.081786493032,27560.885949640615,36522.55078249184,51525.94654538593,1500,12600,27600,36500,51500,0.45724366147340867,3.786458660212351,8.255476631647781,10.93981757567421,15.433874237795065,0.45,3.77,8.27,10.93,15.43,Carnegie Mellon Delphi Group,2024-12-04,climatological baseline
United States,US,0,wk inc covid hosp,hosp,2024-12-07,2024-12-07,CovidHub-baseline,6945.125,7163.75,7368,7572.25,7790.875,6900,7200,7400,7600,7800,2.0803147346618744,2.145800785505517,2.2069810068197033,2.268161228133889,2.3336472789775318,2.07,2.16,2.22,2.28,2.34,CovidHub-hub-models,2024-12-04,CovidHub baseline model
United States,US,1,wk inc covid hosp,hosp,2024-12-07,2024-12-14,CovidHub-baseline,6709.030959559596,7115.036585365854,7368,7619.09907599076,8026.107677326773,6700,7100,7400,7600,8000,2.009596077892698,2.131209365734223,2.2069810068197033,2.282194211426324,2.4041079265132996,2.01,2.13,2.22,2.28,2.4,CovidHub-hub-models,2024-12-04,CovidHub baseline model
United States,US,2,wk inc covid hosp,hosp,2024-12-07,2024-12-21,CovidHub-baseline,6534.836378363783,7064.752615026149,7368,7674.15676406764,8202.410592855926,6500,7100,7400,7700,8200,1.9574185355216238,2.1161475080405188,2.2069810068197033,2.298685969279891,2.4569169908482316,1.95,2.13,2.22,2.31,2.46,CovidHub-hub-models,2024-12-04,CovidHub baseline model
United States,US,0,wk inc covid hosp,hosp,2024-12-07,2024-12-07,CovidHub-ensemble,5442.21739744111,7468.91666666667,8733.53,9864.44,14064.8533333333,5400,7500,8700,9900,14100,1.630139852217194,2.237209178183017,2.6160063562011513,2.9547545769425287,4.212929447661697,1.62,2.25,2.61,2.97,4.22,CovidHub,2024-12-04,Ensemble model using CovidHub submissions
United States,US,1,wk inc covid hosp,hosp,2024-12-07,2024-12-14,CovidHub-ensemble,4630.81666666667,7133.89329664681,8184.73000880142,10378,15746,4600,7100,8200,10400,15700,1.3870961494839127,2.1368576289872294,2.451621020001628,3.1085842682919216,4.716493340578589,1.38,2.13,2.46,3.12,4.7,CovidHub,2024-12-04,Ensemble model using CovidHub submissions
United States,US,2,wk inc covid hosp,hosp,2024-12-07,2024-12-21,CovidHub-ensemble,4790.88303848148,7747.24646104528,10480.5448242188,12545.4174532166,24361.3468796916,4800,7700,10500,12500,24400,1.4350417849923038,2.3205789623613047,3.139300131402475,3.7578037516114886,7.297099601523588,1.44,2.31,3.15,3.74,7.31,CovidHub,2024-12-04,Ensemble model using CovidHub submissions
United States,US,0,wk inc covid hosp,hosp,2024-12-07,2024-12-07,JHU_CSSE-CSSE_Ensemble,4720.933333333333,7850.833333333334,9690.833333333334,11576.666666666668,15332.666666666666,4700,7900,9700,11600,15300,1.4140893324007462,2.35160695634822,2.902753136118613,3.4676280477220547,4.592685140775095,1.41,2.37,2.91,3.47,4.58,The Center for Systems Science and Engineering at Johns Hopkins University,2024-12-04,CSSE Ensemble
United States,US,1,wk inc covid hosp,hosp,2024-12-07,2024-12-14,JHU_CSSE-CSSE_Ensemble,4630.816666666667,8575,10960.166666666666,13538.333333333334,19082.166666666664,4600,8600,11000,13500,19100,1.3870961494839118,2.5685209193103904,3.282964123902246,4.05521777017654,5.715795250040903,1.38,2.58,3.29,4.04,5.72,The Center for Systems Science and Engineering at Johns Hopkins University,2024-12-04,CSSE Ensemble
United States,US,2,wk inc covid hosp,hosp,2024-12-07,2024-12-21,JHU_CSSE-CSSE_Ensemble,4593.633333333333,10147.333333333334,14035.333333333334,18570.166666666668,29692.833333333332,4600,10100,14000,18600,29700,1.3759584037677184,3.0394913051757784,4.204087145908,5.562432834800447,8.894071553383501,1.38,3.03,4.19,5.57,8.9,The Center for Systems Science and Engineering at Johns Hopkins University,2024-12-04,CSSE Ensemble
United States,US,2,wk inc covid hosp,hosp,2024-12-07,2024-12-21,Metaculus-cp,6804.65355894457,11034.18055291663,13489.394770189543,16799.20263722073,28255.69375938325,6800,11000,13500,16800,28300,2.0382384856920144,3.3051339449112835,4.040558910328631,5.031965411246148,8.463596561003373,2.04,3.29,4.04,5.03,8.48,Metaculus,2024-12-04,Metaculus Community Prediction
United States,US,0,wk inc covid hosp,hosp,2024-12-07,2024-12-07,Metaculus-cp,5353.434794882212,8845.078970867487,10919.998726398166,13612.865406450845,24129.809427925455,5400,8800,10900,13600,24100,1.6035462694832756,2.6494192850875287,3.270932381060817,4.077542806790173,7.2277458069503915,1.62,2.64,3.26,4.07,7.22,Metaculus,2024-12-04,Metaculus Community Prediction
United States,US,0,wk inc covid hosp,hosp,2024-12-07,2024-12-07,OHT_JHU-nbxd,6594.14,8330.98,9355.06,10459.88,12797.04,6600,8300,9400,10500,12800,1.9751821031908359,2.4954281525780146,2.80217694593631,3.1331102732917038,3.8331737545483193,1.98,2.49,2.82,3.15,3.83,One Health Trust and Johns Hopkins University,2024-12-04,NBEATS exogenous covariate decoder
United States,US,1,wk inc covid hosp,hosp,2024-12-07,2024-12-14,OHT_JHU-nbxd,6651.5,8823.78,10135.52,11571.4,14666.16,6700,8800,10100,11600,14700,1.9923634862732431,2.6430394772469548,3.0359527869491365,3.466050491627784,4.393042421685513,2.01,2.64,3.03,3.47,4.4,One Health Trust and Johns Hopkins University,2024-12-04,NBEATS exogenous covariate decoder
United States,US,2,wk inc covid hosp,hosp,2024-12-07,2024-12-21,OHT_JHU-nbxd,6690.58,9283.61,10883.95,12658.71,16547.26,6700,9300,10900,12700,16500,2.0040693518740187,2.7807751010751174,3.260134490930416,3.7917389441963416,4.956499529710559,2.01,2.79,3.26,3.8,4.94,One Health Trust and Johns Hopkins University,2024-12-04,NBEATS exogenous covariate decoder
United States,US,0,wk inc covid hosp,hosp,2024-12-07,2024-12-07,UM-DeepOutbreak,0,3240.555588684082,5698.154052734375,8111.607497253418,20495.292714843752,0,3200,5700,8100,20500,0,0.9706629527374065,1.7068020858194193,2.42971819777614,6.1390773277511395,0,0.96,1.71,2.43,6.14,"University of Michigan, Computer Science and Engineering",2024-12-04,DeepOutbreak
United States,US,1,wk inc covid hosp,hosp,2024-12-07,2024-12-14,UM-DeepOutbreak,0,4782.710752471924,6934.04052734375,8492.960145965575,22135.96544921875,0,4800,6900,8500,22100,0,1.432593891397653,2.0769945364231455,2.5439470322777846,6.630517822209956,0,1.44,2.07,2.55,6.62,"University of Michigan, Computer Science and Engineering",2024-12-04,DeepOutbreak
United States,US,2,wk inc covid hosp,hosp,2024-12-07,2024-12-21,UM-DeepOutbreak,0,5436.322359191894,10077.1396484375,12432.124906433106,30916.4680078125,0,5400,10100,12400,30900,0,1.6283740762331418,3.0184657718745034,3.7238685590266076,9.260594149184469,0,1.62,3.03,3.71,9.26,"University of Michigan, Computer Science and Engineering",2024-12-04,DeepOutbreak
United States,US,0,wk inc covid hosp,hosp,2024-12-07,2024-12-07,UMass-ar6_pooled,5750.7218936724685,7010.833303158016,7710.356566799523,8485.41651481056,10094.141631981922,5800,7000,7700,8500,10100,1.7225480449019237,2.099996734805752,2.309529112206042,2.5416874434230654,3.0235584774609316,1.74,2.1,2.31,2.55,3.03,UMass-Amherst,2024-12-04,AR(6) model with pooling
United States,US,1,wk inc covid hosp,hosp,2024-12-07,2024-12-14,UMass-ar6_pooled,5375.677836383883,7133.893296646807,8184.730008801424,9415.384639303904,11797.67668015071,5400,7100,8200,9400,11800,1.610208860434428,2.136857628987229,2.4516210200016295,2.8202463451202084,3.533828495886583,1.62,2.13,2.46,2.82,3.53,UMass-Amherst,2024-12-04,AR(6) model with pooling
United States,US,2,wk inc covid hosp,hosp,2024-12-07,2024-12-21,UMass-ar6_pooled,4988.132743629634,7239.148315964583,8563.14421401744,10031.404203972706,13481.500381933189,5000,7200,8600,10000,13500,1.4941251662168917,2.168385293008235,2.5649696849883994,3.0047663612783775,4.038194257106286,1.5,2.16,2.58,3,4.04,UMass-Amherst,2024-12-04,AR(6) model with pooling
United States,US,0,wk inc covid hosp,hosp,2024-12-07,2024-12-07,UMass-gbqr,3914.141410047232,6792.646805502956,7327.126373671957,7754.4695187366115,9573.84244960358,3900,6800,7300,7800,9600,1.1724261332764294,2.0346420311861504,2.1947378856218425,2.3227425279334994,2.8677101585992566,1.17,2.04,2.19,2.34,2.88,UMass-Amherst,2024-12-04,gradient boosting quantile regression
United States,US,1,wk inc covid hosp,hosp,2024-12-07,2024-12-14,UMass-gbqr,3749.2124533964766,6508.6681815585,7383.524157076368,7806.236671102505,10096.96341497442,3700,6500,7400,7800,10100,1.1230239787157879,1.9495802193799328,2.2116310502255705,2.338248651990051,3.0244037029590056,1.11,1.95,2.22,2.34,3.03,UMass-Amherst,2024-12-04,gradient boosting quantile regression
United States,US,2,wk inc covid hosp,hosp,2024-12-07,2024-12-21,UMass-gbqr,3189.1040441316263,6360.05775685211,7196.489593321812,7902.797852339794,10479.086674577442,3200,6400,7200,7900,10500,0.9552513645725303,1.905066052069616,2.1556074712590783,2.36717219881236,3.1388633631392313,0.96,1.92,2.16,2.37,3.15,UMass-Amherst,2024-12-04,gradient boosting quantile regression
Alabama,AL,0,wk inc covid hosp,hosp,2024-12-07,2024-12-07,CEPH-Rtrend_covid,53,71,83,96,125,50,70,80,100,130,1.0397537078500032,1.3928776086292496,1.6282935424820806,1.8833274708226473,2.4522493109669887,0.98,1.37,1.57,1.96,2.55,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
