location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2026-03-07,2026-03-07,CEPH-Rtrend_covid,3774,4759,5404,6122,7611,3800,4800,5400,6100,7600,CEPH Lab at Indiana University,2026-03-04,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2026-03-07,2026-03-14,CEPH-Rtrend_covid,2631,3987,4998,6232,9152,2600,4000,5000,6200,9200,CEPH Lab at Indiana University,2026-03-04,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2026-03-07,2026-03-21,CEPH-Rtrend_covid,1808,3255,4484,6120,10440,1800,3300,4500,6100,10400,CEPH Lab at Indiana University,2026-03-04,Rtrend COVID
United States,US,0,wk inc covid hosp,hosp,2026-03-07,2026-03-07,CFA-EpiAutoGP,4796.6293,5405.0766,5764.6142,6154.4155,6977.4073,4800,5400,5800,6200,7000,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-03-04,EpiAutoGP
United States,US,1,wk inc covid hosp,hosp,2026-03-07,2026-03-14,CFA-EpiAutoGP,4289.0098,5189.3488,5788.1015,6455.0736,7880.0995,4300,5200,5800,6500,7900,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-03-04,EpiAutoGP
United States,US,2,wk inc covid hosp,hosp,2026-03-07,2026-03-21,CFA-EpiAutoGP,3779.2639,5048.4265,5841.5863,6829.7948,9160.3277,3800,5000,5800,6800,9200,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-03-04,EpiAutoGP
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-03-07,2026-03-07,CFA_Pyrenew-Pyrenew_E_COVID,0.003992894311972204,0.004354798984394172,0.00454985459512104,0.004742311824474186,0.0051823647451911805,0.004,0.0044,0.0045,0.0047,0.0052,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-03-04,Pyrenew_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-03-07,2026-03-14,CFA_Pyrenew-Pyrenew_E_COVID,0.002560936430348813,0.0034205915445520213,0.003920772542916738,0.004519942330187351,0.006067523620241875,0.0026,0.0034,0.0039,0.0045,0.0061,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-03-04,Pyrenew_ED_Visits_COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-03-07,2026-03-07,CFA_Pyrenew-Pyrenew_HE_COVID,0.0038146573589295033,0.00422911775500444,0.004459254002043623,0.004727840695396418,0.005292872547806813,0.0038,0.0042,0.0045,0.0047,0.0053,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-03-04,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-03-07,2026-03-14,CFA_Pyrenew-Pyrenew_HE_COVID,0.002397928769882344,0.0033084554380615385,0.003930763790572241,0.004652503704752887,0.007001574498768335,0.0024,0.0033,0.0039,0.0047,0.007,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-03-04,Pyrenew_Hospital_Admissions_ED_Visits_COVID
