location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,quantile_0.025,quantile_0.10,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.90,quantile_0.975,quantile_0.025_rounded,quantile_0.10_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.90_rounded,quantile_0.975_rounded,designated_model,ensemble_of_hub_models,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2026-08-22,2026-08-22,CEPH-Rtrend_covid,1640,1854,2088,2387,2723,3055,3431,1600,1900,2100,2400,2700,3100,3400,TRUE,FALSE,CEPH Lab at Indiana University,2026-08-19,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2026-08-22,2026-08-29,CEPH-Rtrend_covid,1306,1617,2000,2539,3202,3927,4808,1300,1600,2000,2500,3200,3900,4800,TRUE,FALSE,CEPH Lab at Indiana University,2026-08-19,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2026-08-22,2026-09-05,CEPH-Rtrend_covid,1021,1377,1853,2584,3562,4694,6120,1000,1400,1900,2600,3600,4700,6100,TRUE,FALSE,CEPH Lab at Indiana University,2026-08-19,Rtrend COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-08-22,2026-08-22,CFA_Pyrenew-Pyrenew_E_COVID,0.004287576739633379,0.004400513588084618,0.004502354674604615,0.004621868111422551,0.0047485421371801315,0.004871002578006464,0.005026918492310621,0.0043,0.0044,0.0045,0.0046,0.0047,0.0049,0.005,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-19,Pyrenew_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-08-22,2026-08-29,CFA_Pyrenew-Pyrenew_E_COVID,0.004546929308137825,0.004876610850950056,0.005227404701317109,0.005594798228057999,0.006043062562623125,0.006495198612220336,0.007079938332456927,0.0045,0.0049,0.0052,0.0056,0.006,0.0065,0.0071,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-19,Pyrenew_ED_Visits_COVID
United States,US,2,wk inc covid prop ed visits,prop_ed,2026-08-22,2026-09-05,CFA_Pyrenew-Pyrenew_E_COVID,0.004431644829518526,0.0052323039339941075,0.005821494041066138,0.006685802315287783,0.007637735821119129,0.008702825000598038,0.010193140820040079,0.0044,0.0052,0.0058,0.0067,0.0076,0.0087,0.01,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-19,Pyrenew_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2026-08-22,2026-08-22,CFA_Pyrenew-Pyrenew_HE_COVID,2369.5,2636,2914,3233.5,3585.25,3941,4432.374999999998,2400,2600,2900,3200,3600,3900,4400,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-19,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid hosp,hosp,2026-08-22,2026-08-29,CFA_Pyrenew-Pyrenew_HE_COVID,2730.975,3128.8999999999996,3497,3897.5,4380,4920.200000000001,5597.4249999999975,2700,3100,3500,3900,4400,4900,5600,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-19,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,2,wk inc covid hosp,hosp,2026-08-22,2026-09-05,CFA_Pyrenew-Pyrenew_HE_COVID,3025.8500000000004,3503.9,4034.5,4649,5381,6100.500000000001,7209.974999999995,3000,3500,4000,4600,5400,6100,7200,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-19,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-08-22,2026-08-22,CFA_Pyrenew-Pyrenew_HE_COVID,0.004283251038465262,0.004375784759707511,0.004482705790129743,0.004607943978525347,0.00473367234179305,0.004847661731946226,0.0049939860651831555,0.0043,0.0044,0.0045,0.0046,0.0047,0.0048,0.005,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-19,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-08-22,2026-08-29,CFA_Pyrenew-Pyrenew_HE_COVID,0.0044654186600098745,0.004845060463273462,0.005166775811653924,0.005541485487908523,0.005972949481516915,0.006392899697198653,0.006944793345399846,0.0045,0.0048,0.0052,0.0055,0.006,0.0064,0.0069,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-19,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,2,wk inc covid prop ed visits,prop_ed,2026-08-22,2026-09-05,CFA_Pyrenew-Pyrenew_HE_COVID,0.004374276253990195,0.00511235567262927,0.005787385125310371,0.006555442197669773,0.00752361824646223,0.00848560239169537,0.010070489673391154,0.0044,0.0051,0.0058,0.0066,0.0075,0.0085,0.01,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-19,Pyrenew_Hospital_Admissions_ED_Visits_COVID
