location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,0.5269331898564038,0.7599208394531344,1.1776818183021769,1759.165,2536.993625132772,3931.687499999999,0.53,0.76,1.18,1800,2500,3900,wk inc covid hosp,hosp,2026-08-22,2026-08-22,2026-08-19,"August 22, 2026","August 19, 2026","August 22, 2026",CovidHub-ensemble
United States,1,0.47731056383919607,0.8378934456661662,1.5047331211065664,1593.5,2797.304955770586,5023.547371750858,0.48,0.84,1.5,1600,2800,5000,wk inc covid hosp,hosp,2026-08-29,2026-08-22,2026-08-19,"August 29, 2026","August 19, 2026","August 22, 2026",CovidHub-ensemble
United States,2,0.4314890492466006,0.9133636748244421,1.9173399921753183,1440.525,3049.2621075176576,6401.034272018921,0.43,0.91,1.92,1400,3000,6400,wk inc covid hosp,hosp,2026-09-05,2026-08-22,2026-08-19,"September 05, 2026","August 19, 2026","August 22, 2026",CovidHub-ensemble
United States,0,NA,NA,NA,0.0032873926824702453,0.0042623428156748555,0.005397055489804204,NA,NA,NA,0.0033,0.0043,0.0054,wk inc covid prop ed visits,prop_ed,2026-08-22,2026-08-22,2026-08-19,"August 22, 2026","August 19, 2026","August 22, 2026",CovidHub-ensemble
United States,1,NA,NA,NA,0.0033013783165353455,0.004827137618807828,0.007151940716959288,NA,NA,NA,0.0033,0.0048,0.0072,wk inc covid prop ed visits,prop_ed,2026-08-29,2026-08-22,2026-08-19,"August 29, 2026","August 19, 2026","August 22, 2026",CovidHub-ensemble
United States,2,NA,NA,NA,0.003186079371959024,0.005440911310892707,0.009471988486459068,NA,NA,NA,0.0032,0.0054,0.0095,wk inc covid prop ed visits,prop_ed,2026-09-05,2026-08-22,2026-08-19,"September 05, 2026","August 19, 2026","August 22, 2026",CovidHub-ensemble
Alabama,0,1.0593717023377391,1.3928776086292496,2.0991254101877423,54,71,107,1.06,1.39,2.1,50,70,110,wk inc covid hosp,hosp,2026-08-22,2026-08-22,2026-08-19,"August 22, 2026","August 19, 2026","August 22, 2026",CovidHub-ensemble
Alabama,1,0.882809751948116,1.4752479895736366,2.735729331314772,45,75.19871567381063,139.45,0.88,1.48,2.74,50,80,140,wk inc covid hosp,hosp,2026-08-29,2026-08-22,2026-08-19,"August 29, 2026","August 19, 2026","August 22, 2026",CovidHub-ensemble
Alabama,2,0.7062478015584928,1.6026759273812672,3.018991373946026,36,81.69417767872103,153.88888888888889,0.71,1.6,3.02,40,80,150,wk inc covid hosp,hosp,2026-09-05,2026-08-22,2026-08-19,"September 05, 2026","August 19, 2026","August 22, 2026",CovidHub-ensemble
Alabama,0,NA,NA,NA,0.0036646261770880532,0.005219275430110408,0.0072052459482500365,NA,NA,NA,0.0037,0.0052,0.0072,wk inc covid prop ed visits,prop_ed,2026-08-22,2026-08-22,2026-08-19,"August 22, 2026","August 19, 2026","August 22, 2026",CovidHub-ensemble
