location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2025-03-29,2025-03-29,CEPH-Rtrend_covid,4813,6061,6863,7764,9619,4800,6100,6900,7800,9600,1.44166661045375,1.8154874976023645,2.0557153433501116,2.3255972498572444,2.881236469136635,1.44,1.83,2.07,2.34,2.88,CEPH Lab at Indiana University,2025-03-26,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2025-03-29,2025-04-05,CEPH-Rtrend_covid,3244,4819,5962,7347,10534,3200,4800,6000,7300,10500,0.9716946778125837,1.4434638262573494,1.7858334368429791,2.200690751507106,3.1553118791854984,0.96,1.44,1.8,2.19,3.15,CEPH Lab at Indiana University,2025-03-26,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2025-03-29,2025-04-12,CEPH-Rtrend_covid,2176,3759,5031,6664,10702,2200,3800,5000,6700,10700,0.6517902647719427,1.1259557009548404,1.506965451317851,1.9961076858640747,3.2056339216862737,0.66,1.14,1.5,2.01,3.21,CEPH Lab at Indiana University,2025-03-26,Rtrend COVID
United States,US,0,wk inc covid hosp,hosp,2025-03-29,2025-03-29,CFA_Pyrenew-Pyrenew_HE_COVID,6218.95,7011,7429,7907,8917.224999999999,6200,7000,7400,7900,8900,1.8627992036321108,2.1000466665055564,2.225252700822961,2.368430893176356,2.6710296157081737,1.86,2.1,2.22,2.37,2.67,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-03-26,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid hosp,hosp,2025-03-29,2025-04-05,CFA_Pyrenew-Pyrenew_HE_COVID,4914.35,5873.25,6401,6935,8103.074999999999,4900,5900,6400,6900,8100,1.4720245807362118,1.7592496197480756,1.9173297264729803,2.077281932993301,2.4271624079581384,1.47,1.77,1.92,2.07,2.43,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-03-26,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2025-03-29,2025-03-29,CFA_Pyrenew-Pyrenew_H_COVID,4436.6,5665,6379,7108,9046.225,4400,5700,6400,7100,9000,1.328921272374633,1.6968712545648232,1.9107399351931171,2.1291016553304085,2.7096697554855553,1.32,1.71,1.92,2.13,2.7,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-03-26,Pyrenew_Hospital_Admissions_COVID
United States,US,1,wk inc covid hosp,hosp,2025-03-29,2025-04-05,CFA_Pyrenew-Pyrenew_H_COVID,2593.925,4380,5561.5,6771,10460.649999999996,2600,4400,5600,6800,10500,0.7769738338918023,1.311967536627348,1.6658692819527388,2.028158034361592,3.1333409159864978,0.78,1.32,1.68,2.04,3.15,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-03-26,Pyrenew_Hospital_Admissions_COVID
United States,US,0,wk inc covid hosp,hosp,2025-03-29,2025-03-29,CMU-TimeSeries,3468.6433363379424,5602.571560423772,6567.625941726561,8294.823244635347,12698.018691597605,3500,5600,6600,8300,12700,1.038983436852547,1.6781716915314187,1.9672401890997404,2.484597903886644,3.803513311156011,1.05,1.68,1.98,2.49,3.8,Carnegie Mellon Delphi Group,2025-03-26,AR ensemble with auxiliary data
United States,US,1,wk inc covid hosp,hosp,2025-03-29,2025-04-05,CMU-TimeSeries,2637.4068265571364,4830.999361461947,5901.257952515724,8347.576271815675,14379.00286006383,2600,4800,5900,8300,14400,0.7899982048681089,1.4470580665994341,1.7676390088960277,2.5003993329093404,4.307028530017246,0.78,1.44,1.77,2.49,4.31,Carnegie Mellon Delphi Group,2025-03-26,AR ensemble with auxiliary data
United States,US,2,wk inc covid hosp,hosp,2025-03-29,2025-04-12,CMU-TimeSeries,1905.6830951101924,4296.744196578083,5346.2739147871025,8362.184147857493,16057.454806480884,1900,4300,5300,8400,16100,0.5708206291972829,1.287029429018813,1.6014013283375075,2.504774917189236,4.809785257297647,0.57,1.29,1.59,2.52,4.82,Carnegie Mellon Delphi Group,2025-03-26,AR ensemble with auxiliary data
United States,US,0,wk inc covid hosp,hosp,2025-03-29,2025-03-29,CMU-climate_baseline,4925.791629255366,8115.360235279376,11098.507272182256,15201.016419958543,23294.627020397096,4900,8100,11100,15200,23300,1.4754517602223227,2.430842277790643,3.3244021109875943,4.5532511567865015,6.977578636667405,1.47,2.43,3.32,4.55,6.98,Carnegie Mellon Delphi Group,2025-03-26,climatological baseline
United States,US,1,wk inc covid hosp,hosp,2025-03-29,2025-04-05,CMU-climate_baseline,4586.832712718197,7432.68678123322,10017.994003143784,13786.5235779398,21838.207027116357,4600,7400,10000,13800,21800,1.373921373293751,2.2263570244057536,3.000749523801848,4.129559675160852,6.5413284652337635,1.38,2.22,3,4.13,6.53,Carnegie Mellon Delphi Group,2025-03-26,climatological baseline
United States,US,2,wk inc covid hosp,hosp,2025-03-29,2025-04-12,CMU-climate_baseline,3152.9332387908235,6668.628947732019,9417.918305345343,12460.747286383976,20283.191192881983,3200,6700,9400,12500,20300,0.944416907407964,1.9974942222004108,2.8210052692286616,3.732441991290661,6.075545293211619,0.96,2.01,2.82,3.74,6.08,Carnegie Mellon Delphi Group,2025-03-26,climatological baseline
United States,US,0,wk inc covid hosp,hosp,2025-03-29,2025-03-29,CovidHub-baseline,3919.875,6228,7274,8320,10628.124999999998,3900,6200,7300,8300,10600,1.1741435496888415,1.8655100041358728,2.1788246258966506,2.4921392476574282,3.183505702104459,1.17,1.86,2.19,2.49,3.18,CovidHub-hub-models,2025-03-26,CovidHub baseline model
United States,US,1,wk inc covid hosp,hosp,2025-03-29,2025-04-05,CovidHub-baseline,2788.135667356674,5936.70134701347,7274,8607.5049100491,11750.429753297532,2800,5900,7300,8600,11800,0.8351469139919594,1.7782555803501188,2.1788246258966506,2.578257308982858,3.519676341951246,0.84,1.77,2.19,2.58,3.53,CovidHub-hub-models,2025-03-26,CovidHub baseline model
United States,US,2,wk inc covid hosp,hosp,2025-03-29,2025-04-12,CovidHub-baseline,1939.483378833788,5574.164474144741,7274,8951.003257532575,12552.428066030652,1900,5600,7300,9000,12600,0.5809450298763128,1.6696627474656054,2.1788246258966506,2.6811474187507716,3.7599036823018768,0.57,1.68,2.19,2.7,3.77,CovidHub-hub-models,2025-03-26,CovidHub baseline model
