location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.10,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.90,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.10_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.90_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.10,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.90,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.10_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.90_rounded,rate_quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2025-08-09,2025-08-09,CEPH-Rtrend_covid,5161,5557,5978,6494,7053,7579,8148,5200,5600,6000,6500,7100,7600,8100,1.5292174550717483,1.6465532644514056,1.7712966375545265,1.9241887528068076,2.089821877663445,2.2456770184051114,2.4142731687511345,1.53,1.65,1.77,1.92,2.09,2.25,2.41,CEPH Lab at Indiana University,2025-08-06,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2025-08-09,2025-08-16,CEPH-Rtrend_covid,4989,5673,6450,7455,8607,9744,11038,5000,5700,6500,7500,8600,9700,11000,1.4782534166543213,1.6809243601282748,1.911151440653512,2.208935502336734,2.5502760387139194,2.887172036857027,3.270587535183483,1.48,1.68,1.91,2.21,2.55,2.89,3.27,CEPH Lab at Indiana University,2025-08-06,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2025-08-09,2025-08-23,CEPH-Rtrend_covid,4840,5762,6858,8337,10091,11882,13926,4800,5800,6900,8300,10100,11900,13900,1.4341043368624804,1.707295286983804,2.032042880620432,2.4702743505005165,2.989989021338696,3.520666886487602,4.126309296517955,1.43,1.71,2.03,2.47,2.99,3.52,4.13,CEPH Lab at Indiana University,2025-08-06,Rtrend COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2025-08-09,2025-08-09,CFA_Pyrenew-Pyrenew_E_COVID,0.00943055369401132,0.009814412880520988,0.01010488415585331,0.01042897427879011,0.01077804368925257,0.011103105534572836,0.0115869949821107,0.0094,0.0098,0.01,0.01,0.011,0.011,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-08-06,Pyrenew_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2025-08-09,2025-08-16,CFA_Pyrenew-Pyrenew_E_COVID,0.00890691558541786,0.010058143659778628,0.01103311473010026,0.01214131181367627,0.01333805968119461,0.01467904598910329,0.01695038078442176,0.0089,0.01,0.011,0.012,0.013,0.015,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-08-06,Pyrenew_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2025-08-09,2025-08-09,CFA_Pyrenew-Pyrenew_HE_COVID,6525,6767.9000000000005,6998,7229.5,7497.5,7747.1,8082.125,6500,6800,7000,7200,7500,7700,8100,1.933374131823902,2.005346020961071,2.0735252374718263,2.1421192775510955,2.221528360666621,2.2954854768816784,2.394754238339809,1.93,2.01,2.07,2.14,2.22,2.3,2.39,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-08-06,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2025-08-09,2025-08-09,CFA_Pyrenew-Pyrenew_HE_COVID,0.00960355234589293,0.009925160656383434,0.01019952181206323,0.01054911331219964,0.01093960468887271,0.0112815019600514,0.01176306331324773,0.0096,0.0099,0.01,0.011,0.011,0.011,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-08-06,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid hosp,hosp,2025-08-09,2025-08-16,CFA_Pyrenew-Pyrenew_HE_COVID,7558.975,7957.9,8293.75,8708,9188,9720,10320.15,7600,8000,8300,8700,9200,9700,10300,2.2397435598626174,2.35794605419792,2.4574592652589247,2.5802025961567105,2.7224278196472045,2.8800607756825016,3.0578867504279597,2.24,2.36,2.46,2.58,2.72,2.88,3.06,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-08-06,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2025-08-09,2025-08-16,CFA_Pyrenew-Pyrenew_HE_COVID,0.0094295491561779,0.010501218236040407,0.01143384078565871,0.01260007713246496,0.01414768043490788,0.015858835252744036,0.01802315338905442,0.0094,0.011,0.011,0.013,0.014,0.016,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-08-06,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2025-08-09,2025-08-09,CFA_Pyrenew-Pyrenew_H_COVID,5416,5706.799999999999,5944.75,6220,6494,6767.200000000001,7141.075,5400,5700,5900,6200,6500,6800,7100,1.6047746050510732,1.6909393862823971,1.7614445778023202,1.8430018543976505,1.9241887528068076,2.0051386091768135,2.115918724661206,1.6,1.69,1.76,1.84,1.92,2.01,2.12,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-08-06,Pyrenew_Hospital_Admissions_COVID
United States,US,1,wk inc covid hosp,hosp,2025-08-09,2025-08-16,CFA_Pyrenew-Pyrenew_H_COVID,5470,5929.6,6391,6922,7457.5,8059.500000000001,9098.1,5500,5900,6400,6900,7500,8100,9100,1.6207749426937537,1.7569555941859016,1.893669590266139,2.051006243752498,2.2096762587090804,2.388050393170075,2.695790220497631,1.62,1.76,1.89,2.05,2.21,2.39,2.7,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-08-06,Pyrenew_Hospital_Admissions_COVID
United States,US,0,wk inc covid hosp,hosp,2025-08-09,2025-08-09,CMU-TimeSeries,2857.8900631766446,4265.689141215097,4901.064474861255,5642.317853701261,6455.4269250081425,7963.821655123829,9242.39406084868,2900,4300,4900,5600,6500,8000,9200,0.8468001103053335,1.263934565521438,1.452197896413463,1.6718331619730538,1.912759452366323,2.3597006557050455,2.7385449185237856,0.85,1.26,1.45,1.67,1.91,2.36,2.74,Carnegie Mellon Delphi Group,2025-08-06,AR ensemble with auxiliary data
