location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,NA,NA,NA,0.004033063479968544,0.005545999914579015,0.007756098016732042,NA,NA,NA,0.004,0.0055,0.0078,wk inc rsv prop ed visits,prop_ed,2026-02-21,2026-02-21,2026-02-18,"February 21, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
United States,1,NA,NA,NA,0.003386729331411642,0.005644904448334573,0.009889076785353067,NA,NA,NA,0.0034,0.0056,0.0099,wk inc rsv prop ed visits,prop_ed,2026-02-28,2026-02-21,2026-02-18,"February 28, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
United States,2,NA,NA,NA,0.0016046635781065415,0.0037841958855205768,0.008114398177484364,NA,NA,NA,0.0016,0.0038,0.0081,wk inc rsv prop ed visits,prop_ed,2026-03-07,2026-02-21,2026-02-18,"March 07, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
United States,0,1.4332646265719242,1.949253241457425,2.651192846275949,4784.95,6507.576566666667,8851,1.43,1.95,2.65,4800,6500,8900,wk inc rsv hosp,hosp,2026-02-21,2026-02-21,2026-02-18,"February 21, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
United States,1,1.2390305285979508,1.851455041690155,2.6149579179123923,4136.5,6181.077546666667,8730.029791666668,1.24,1.85,2.61,4100,6200,8700,wk inc rsv hosp,hosp,2026-02-28,2026-02-21,2026-02-18,"February 28, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
United States,2,0.8303137012627874,1.5441079112588991,2.395179275331676,2772,5155,7996.2994,0.83,1.54,2.4,2800,5200,8000,wk inc rsv hosp,hosp,2026-03-07,2026-02-21,2026-02-18,"March 07, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Alabama,0,NA,NA,NA,0.001854947274019218,0.0032013126776940437,0.00527328245825272,NA,NA,NA,0.0019,0.0032,0.0053,wk inc rsv prop ed visits,prop_ed,2026-02-21,2026-02-21,2026-02-18,"February 21, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Alabama,1,NA,NA,NA,0.0013312906008089685,0.002892946371812426,0.006230296777929745,NA,NA,NA,0.0013,0.0029,0.0062,wk inc rsv prop ed visits,prop_ed,2026-02-28,2026-02-21,2026-02-18,"February 28, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Alabama,2,NA,NA,NA,9.635470133203974e-4,0.0023711809620063046,0.005347707749206767,NA,NA,NA,9.6e-4,0.0024,0.0053,wk inc rsv prop ed visits,prop_ed,2026-03-07,2026-02-21,2026-02-18,"March 07, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Alabama,0,0.4806408649495298,1.0495627050938712,1.8146644901155717,24.5,53.5,92.5,0.48,1.05,1.81,20,50,90,wk inc rsv hosp,hosp,2026-02-21,2026-02-21,2026-02-18,"February 21, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Alabama,1,0.3531239007792464,0.9122367436797197,1.9814174432613267,18,46.5,101,0.35,0.91,1.98,20,50,100,wk inc rsv hosp,hosp,2026-02-28,2026-02-21,2026-02-18,"February 28, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Alabama,2,0.215797939365095,0.8043377739971722,1.5694395590188728,11,41,80,0.22,0.8,1.57,10,40,80,wk inc rsv hosp,hosp,2026-03-07,2026-02-21,2026-02-18,"March 07, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Alaska,0,NA,NA,NA,0.004961644759128314,0.008377136787264811,0.013210830650608196,NA,NA,NA,0.005,0.0084,0.013,wk inc rsv prop ed visits,prop_ed,2026-02-21,2026-02-21,2026-02-18,"February 21, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Alaska,1,NA,NA,NA,0.0036391248545199735,0.0077244095620136255,0.015341601232966798,NA,NA,NA,0.0036,0.0077,0.015,wk inc rsv prop ed visits,prop_ed,2026-02-28,2026-02-21,2026-02-18,"February 28, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Alaska,2,NA,NA,NA,0.0027701619386727083,0.006188829367876812,0.013459426731009692,NA,NA,NA,0.0028,0.0062,0.013,wk inc rsv prop ed visits,prop_ed,2026-03-07,2026-02-21,2026-02-18,"March 07, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Alaska,0,0.28101293924078735,0.9484186699376573,2.950635862028267,2,6.75,21,0.28,0.95,2.95,2,7,20,wk inc rsv hosp,hosp,2026-02-21,2026-02-21,2026-02-18,"February 21, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Alaska,1,0.2107597044305905,0.9835452873427557,3.1965221838639564,1.5,7,22.75,0.21,0.98,3.2,2,7,20,wk inc rsv hosp,hosp,2026-02-28,2026-02-21,2026-02-18,"February 28, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Alaska,2,0.14050646962039368,0.7025323481019684,2.6696229227874797,1,5,19,0.14,0.7,2.67,1,5,20,wk inc rsv hosp,hosp,2026-03-07,2026-02-21,2026-02-18,"March 07, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Arizona,0,NA,NA,NA,0.0018100372168239278,0.0028997294762951055,0.004464441328195318,NA,NA,NA,0.0018,0.0029,0.0045,wk inc rsv prop ed visits,prop_ed,2026-02-21,2026-02-21,2026-02-18,"February 21, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Arizona,1,NA,NA,NA,0.0015349641662507837,0.003077942537721372,0.005922598146512121,NA,NA,NA,0.0015,0.0031,0.0059,wk inc rsv prop ed visits,prop_ed,2026-02-28,2026-02-21,2026-02-18,"February 28, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Arizona,2,NA,NA,NA,7.495862852693231e-4,0.0019296538405075712,0.004393997087661837,NA,NA,NA,7.5e-4,0.0019,0.0044,wk inc rsv prop ed visits,prop_ed,2026-03-07,2026-02-21,2026-02-18,"March 07, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Arizona,0,0.7249752699133509,1.5005302098206565,2.3772444897158715,53.75,111.25,176.25,0.72,1.5,2.38,50,110,180,wk inc rsv hosp,hosp,2026-02-21,2026-02-21,2026-02-18,"February 21, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Arizona,1,0.701371423916172,1.632037351804939,3.001060419641313,52,121,222.5,0.7,1.63,3,50,120,220,wk inc rsv hosp,hosp,2026-02-28,2026-02-21,2026-02-18,"February 28, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Arizona,2,0.6743955999193962,1.611805483807357,2.2862010837267532,50,119.5,169.5,0.67,1.61,2.29,50,120,170,wk inc rsv hosp,hosp,2026-03-07,2026-02-21,2026-02-18,"March 07, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Arkansas,0,NA,NA,NA,0.0052272053110120394,0.008411939594297788,0.012983029954819238,NA,NA,NA,0.0052,0.0084,0.013,wk inc rsv prop ed visits,prop_ed,2026-02-21,2026-02-21,2026-02-18,"February 21, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Arkansas,1,NA,NA,NA,0.004026255295167684,0.007909737782316965,0.01516256767406799,NA,NA,NA,0.004,0.0079,0.015,wk inc rsv prop ed visits,prop_ed,2026-02-28,2026-02-21,2026-02-18,"February 28, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
Arkansas,2,NA,NA,NA,0.0036549284333937736,0.007880014330317417,0.016564937996361787,NA,NA,NA,0.0037,0.0079,0.017,wk inc rsv prop ed visits,prop_ed,2026-03-07,2026-02-21,2026-02-18,"March 07, 2026","February 18, 2026","February 21, 2026",RSVHub-ensemble
