location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.10,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.90,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.10_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.90_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.10,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.90,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.10_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.90_rounded,rate_quantile_0.975_rounded,designated_model,ensemble_of_hub_models,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2026-08-15,2026-08-15,CEPH-Rtrend_covid,1369,1548,1743,1992,2274,2552,2867,1400,1500,1700,2000,2300,2600,2900,0.4100647391878629,0.4636816773285696,0.5220911909455405,0.5966756467949035,0.6811447895640614,0.7644157884641535,0.8587696181531065,0.42,0.45,0.51,0.6,0.69,0.78,0.87,TRUE,FALSE,CEPH Lab at Indiana University,2026-08-12,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2026-08-15,2026-08-22,CEPH-Rtrend_covid,1071,1327,1640,2078,2626,3227,3953,1100,1300,1600,2100,2600,3200,4000,0.32080302094244056,0.39748422856266913,0.49123898631708923,0.6224357399798239,0.7865814500418757,0.966602566369053,1.1840656786045447,0.33,0.39,0.48,0.63,0.78,0.96,1.2,TRUE,FALSE,CEPH Lab at Indiana University,2026-08-12,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2026-08-15,2026-08-29,CEPH-Rtrend_covid,823,1111,1493,2083,2888,3832,5035,820,1100,1500,2100,2900,3800,5000,0.24651810106034416,0.33278445963310127,0.44720719912891105,0.6239334198161566,0.8650598734657035,1.1478218265652962,1.508163595186917,0.25,0.33,0.45,0.63,0.87,1.14,1.5,TRUE,FALSE,CEPH Lab at Indiana University,2026-08-12,Rtrend COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-08-15,2026-08-15,CFA_Pyrenew-Pyrenew_E_COVID,0.00339619076588442,0.00349312443516022,0.00358648883381045,0.00369040218510218,0.00380649993739785,0.00391143060047703,0.00403193854567974,0.0034,0.0035,0.0036,0.0037,0.0038,0.0039,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-12,Pyrenew_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-08-15,2026-08-22,CFA_Pyrenew-Pyrenew_E_COVID,0.00348702901418591,0.00377848148506181,0.00405734818255104,0.00439680477360861,0.00474745736896726,0.00511311304970785,0.00558582997722037,0.0035,0.0038,0.0041,0.0044,0.0047,0.0051,0.0056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-12,Pyrenew_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2026-08-15,2026-08-15,CFA_Pyrenew-Pyrenew_HE_COVID,1897.875,2143,2373.75,2662,2963.25,3260.1000000000004,3635.199999999999,1900,2100,2400,2700,3000,3300,3600,0.5684818238759425,0.6419055778521476,0.7110235022988967,0.7973647448634703,0.8875999550025088,0.9765172068855749,1.0888731482072451,0.57,0.63,0.72,0.81,0.9,0.99,1.08,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-12,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid hosp,hosp,2026-08-15,2026-08-22,CFA_Pyrenew-Pyrenew_HE_COVID,2172.9249999999997,2474.8,2773.5,3114,3533,3965.6,4504.025,2200,2500,2800,3100,3500,4000,4500,0.650869191672598,0.7412916117911783,0.8307630052136871,0.9327550020679364,1.0582605723526073,1.1878398317921028,1.3491174849675778,0.66,0.75,0.84,0.93,1.05,1.2,1.35,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-12,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-08-15,2026-08-15,CFA_Pyrenew-Pyrenew_HE_COVID,0.00335558014083906,0.00347280655581845,0.00355879022492864,0.0036656771758215,0.00378193207337228,0.00388143922111761,0.00399808825419478,0.0034,0.0035,0.0036,0.0037,0.0038,0.0039,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-12,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-08-15,2026-08-22,CFA_Pyrenew-Pyrenew_HE_COVID,0.00334224330330453,0.00367896384667895,0.00394477950339544,0.00427913162073978,0.00461814647313279,0.004957447969251,0.00541800785263459,0.0033,0.0037,0.0039,0.0043,0.0046,0.005,0.0054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-12,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2026-08-15,2026-08-15,CFA_Pyrenew-Pyrenew_H_COVID,1379.95,1570,1738.5,1935.5,2148.25,2365.1,2629.075,1400,1600,1700,1900,2100,2400,2600,0.41334465802943127,0.470271468608433,0.5207432790928411,0.5797518646443452,0.6434781416802968,0.7084325161820412,0.7875025231412202,0.42,0.48,0.51,0.57,0.63,0.72,0.78,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-12,Pyrenew_Hospital_Admissions_COVID
United States,US,1,wk inc covid hosp,hosp,2026-08-15,2026-08-22,CFA_Pyrenew-Pyrenew_H_COVID,1090.8,1379.9,1661.75,2009.5,2425.25,2895.3000000000006,3600.199999999999,1100,1400,1700,2000,2400,2900,3600,0.3267338330943176,0.41332968123106795,0.497753893605136,0.6019175262220675,0.7264496046131224,0.8672464860267491,1.078389389352917,0.33,0.42,0.51,0.6,0.72,0.87,1.08,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-12,Pyrenew_Hospital_Admissions_COVID
United States,US,0,wk inc covid hosp,hosp,2026-08-15,2026-08-15,CMU-TimeSeries,273.602336347981,1160.2306945637245,1638.150600087603,2066.2959651678707,2527.3307793251643,3226.222010184812,4018.949810782447,270,1200,1600,2100,2500,3200,4000,0.08195374046437164,0.347530823348449,0.49068502452546675,0.6189299605854611,0.7570264695876053,0.9663695304372371,1.2038200189683088,0.08,0.36,0.48,0.63,0.75,0.96,1.2,TRUE,FALSE,Carnegie Mellon Delphi Group,2026-08-12,AR ensemble with auxiliary data
United States,US,1,wk inc covid hosp,hosp,2026-08-15,2026-08-22,CMU-TimeSeries,174.85903675978997,1157.236326274019,1814.233613080865,2414.1393529285288,2886.6209393213044,3579.884652528154,4384.197439937472,170,1200,1800,2400,2900,3600,4400,0.05237657071113528,0.34663390234643987,0.5434282201416063,0.7231215661956123,0.8646467951913911,1.0723042120975825,1.3132248208590618,0.05,0.36,0.54,0.72,0.87,1.08,1.32,TRUE,FALSE,Carnegie Mellon Delphi Group,2026-08-12,AR ensemble with auxiliary data
United States,US,2,wk inc covid hosp,hosp,2026-08-15,2026-08-29,CMU-TimeSeries,204.44801316071585,1465.250027463683,1836.8976159066349,2568.2598073716517,3176.5297616542052,3761.726440532425,5764.504525872656,200,1500,1800,2600,3200,3800,5800,0.06123953337781279,0.43889508426362606,0.5502169041501543,0.7692861855927883,0.9514849147079736,1.126772367956915,1.7266764389694855,0.06,0.45,0.54,0.78,0.96,1.14,1.74,TRUE,FALSE,Carnegie Mellon Delphi Group,2026-08-12,AR ensemble with auxiliary data
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-08-15,2026-08-15,CMU-TimeSeries,0.00190048834209627,0.00243465250794417,0.00282182699042359,0.0032687130597833,0.00370105323504078,0.00419120273729979,0.00487941563286315,0.0019,0.0024,0.0028,0.0033,0.0037,0.0042,0.0049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Carnegie Mellon Delphi Group,2026-08-12,AR ensemble with auxiliary data
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-08-15,2026-08-22,CMU-TimeSeries,0.00166103571223879,0.00224020756047142,0.0027359180778129,0.0033763196243885,0.00418172150735016,0.00497846629765248,0.00592766582522028,0.0017,0.0022,0.0027,0.0034,0.0042,0.005,0.0059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Carnegie Mellon Delphi Group,2026-08-12,AR ensemble with auxiliary data
United States,US,2,wk inc covid prop ed visits,prop_ed,2026-08-15,2026-08-29,CMU-TimeSeries,0.00155706216607534,0.00213416611185644,0.00265652000554158,0.00346992331486473,0.00462350739092499,0.00588703077830649,0.00732670041925276,0.0016,0.0021,0.0027,0.0035,0.0046,0.0059,0.0073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Carnegie Mellon Delphi Group,2026-08-12,AR ensemble with auxiliary data
United States,US,0,wk inc covid hosp,hosp,2026-08-15,2026-08-15,CovidHub-baseline,0,739.8000000000001,1423.25,1801,2178.75,2862.2,3608.7499999999977,0,740,1400,1800,2200,2900,3600,0,0.2215967085837699,0.42631456541207147,0.5394642770469985,0.6526139886819257,0.8573318455102272,1.0809504218730455,0,0.22,0.42,0.54,0.66,0.87,1.08,FALSE,FALSE,CovidHub-hub-models,2026-08-12,CovidHub baseline model
United States,US,1,wk inc covid hosp,hosp,2026-08-15,2026-08-22,CovidHub-baseline,0,324.3565945659457,1071.079948299483,1801,2539.191884418844,3298.647630476304,4628.418829438293,0,320,1100,1800,2500,3300,4600,0,0.09715646629258431,0.3208269683336575,0.5394642770469985,0.7605792971746904,0.9880636086661267,1.3863779109903631,0,0.1,0.33,0.54,0.75,0.99,1.38,FALSE,FALSE,CovidHub-hub-models,2026-08-12,CovidHub baseline model
United States,US,2,wk inc covid hosp,hosp,2026-08-15,2026-08-29,CovidHub-baseline,0,0,872.7162071620719,1801,2743.6785117851177,3715.053447534476,5128.04850698507,0,0,870,1800,2700,3700,5100,0,0,0.2614098932614579,0.5394642770469985,0.8218303968959153,1.112792127854051,1.5360349697293956,0,0,0.26,0.54,0.81,1.11,1.53,FALSE,FALSE,CovidHub-hub-models,2026-08-12,CovidHub baseline model
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-08-15,2026-08-15,CovidHub-baseline,0,9.100000000000022e-4,0.00239999999999999,0.0031,0.0038,0.00528999999999999,0.00679749999999999,0,9.1e-4,0.0024,0.0031,0.0038,0.0053,0.0068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,CovidHub-hub-models,2026-08-12,CovidHub baseline model
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-08-15,2026-08-22,CovidHub-baseline,0,1.947539475394754e-4,0.0017,0.0031,0.0045,0.00619999999999999,0.00823139331393313,0,1.9e-4,0.0017,0.0031,0.0045,0.0062,0.0082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,CovidHub-hub-models,2026-08-12,CovidHub baseline model
United States,US,2,wk inc covid prop ed visits,prop_ed,2026-08-15,2026-08-29,CovidHub-baseline,0,0,0.00129999999999999,0.0031,0.00499999999999999,0.0069,0.0092530678306783,0,0,0.0013,0.0031,0.005,0.0069,0.0093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,CovidHub-hub-models,2026-08-12,CovidHub baseline model
United States,US,0,wk inc covid hosp,hosp,2026-08-15,2026-08-15,OHT_JHU-nbxd,1741.79,1966.87,2184.36,2444.36,2724.24,2993.57,3314.57,1700,2000,2200,2400,2700,3000,3300,0.521728752425148,0.5891483079374958,0.6542943854582909,0.7321737369475855,0.8160078634661384,0.8966818855300297,0.9928329310225819,0.51,0.6,0.66,0.72,0.81,0.9,0.99,TRUE,FALSE,One Health Trust and Johns Hopkins University,2026-08-12,NBEATS exogenous covariate decoder
United States,US,1,wk inc covid hosp,hosp,2026-08-15,2026-08-22,OHT_JHU-nbxd,1801,2090.26,2374.65,2720.03,3097.41,3465.28,3908.92,1800,2100,2400,2700,3100,3500,3900,0.5394642770469985,0.6261080509385116,0.7112930846694365,0.8147468170439465,0.9277857003709848,1.0379759966493187,1.1708621331674367,0.54,0.63,0.72,0.81,0.93,1.05,1.17,TRUE,FALSE,One Health Trust and Johns Hopkins University,2026-08-12,NBEATS exogenous covariate decoder
United States,US,2,wk inc covid hosp,hosp,2026-08-15,2026-08-29,OHT_JHU-nbxd,1851.62,2185.29,2516.84,2923.32,3371.43,3811.56,4345.96,1900,2200,2500,2900,3400,3800,4300,0.5546267877100296,0.6545729539078486,0.7538841038550627,0.8756394838295568,1.009864546121356,1.1416993113943685,1.3017713323015956,0.57,0.66,0.75,0.87,1.02,1.14,1.29,TRUE,FALSE,One Health Trust and Johns Hopkins University,2026-08-12,NBEATS exogenous covariate decoder
