location_name,horizon,rate_quantile_0.025,rate_quantile_0.5,rate_quantile_0.975,count_quantile_0.025,count_quantile_0.5,count_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.5_rounded,rate_quantile_0.975_rounded,count_quantile_0.025_rounded,count_quantile_0.5_rounded,count_quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,0.3775254581309763,0.6805457176295284,1.0711555957434309,1260.3677,2272,3576.0499999999997,0.38,0.68,1.07,1300,2300,3600,wk inc covid hosp,hosp,2026-04-04,2026-04-04,2026-04-01,"April 04, 2026","April 01, 2026","April 04, 2026",CovidHub-ensemble
United States,1,0.25051423136716444,0.5796358237296565,1.1406928705443526,836.34107,1935.112597726585,3808.199999999999,0.25,0.58,1.14,840,1900,3800,wk inc covid hosp,hosp,2026-04-11,2026-04-04,2026-04-01,"April 11, 2026","April 01, 2026","April 04, 2026",CovidHub-ensemble
United States,2,0.1844709057483376,0.5451995226120934,1.2444288777365342,615.8556097011251,1820.147101489791,4154.522373699717,0.18,0.55,1.24,620,1800,4200,wk inc covid hosp,hosp,2026-04-18,2026-04-04,2026-04-01,"April 18, 2026","April 01, 2026","April 04, 2026",CovidHub-ensemble
United States,0,NA,NA,NA,0.00194052875457941,0.00267797065173016,0.00430886021908379,NA,NA,NA,0.0019,0.0027,0.0043,wk inc covid prop ed visits,prop_ed,2026-04-04,2026-04-04,2026-04-01,"April 04, 2026","April 01, 2026","April 04, 2026",CovidHub-ensemble
United States,1,NA,NA,NA,0.00155585065424555,0.00243856063361714,0.00420300723732167,NA,NA,NA,0.0016,0.0024,0.0042,wk inc covid prop ed visits,prop_ed,2026-04-11,2026-04-04,2026-04-01,"April 11, 2026","April 01, 2026","April 04, 2026",CovidHub-ensemble
United States,2,NA,NA,NA,0.00127589840095612,0.00249613340644774,0.00503119491203162,NA,NA,NA,0.0013,0.0025,0.005,wk inc covid prop ed visits,prop_ed,2026-04-18,2026-04-04,2026-04-01,"April 18, 2026","April 01, 2026","April 04, 2026",CovidHub-ensemble
Alabama,0,0.403669943356012,0.8446763812293565,1.485425524751161,20.576514261351445,43.05620443299654,75.71750138271102,0.4,0.84,1.49,20,40,80,wk inc covid hosp,hosp,2026-04-04,2026-04-04,2026-04-01,"April 04, 2026","April 01, 2026","April 04, 2026",CovidHub-ensemble
Alabama,1,0.30114412027784393,0.8042186535474244,1.543936166184816,15.350402940835908,40.99392800065152,78.7,0.3,0.8,1.54,20,40,80,wk inc covid hosp,hosp,2026-04-11,2026-04-04,2026-04-01,"April 11, 2026","April 01, 2026","April 04, 2026",CovidHub-ensemble
Alabama,2,0.2386855996007869,0.7285638846952638,1.535625226850086,12.166666666666668,37.13753131854135,78.27636141961781,0.24,0.73,1.54,10,40,80,wk inc covid hosp,hosp,2026-04-18,2026-04-04,2026-04-01,"April 18, 2026","April 01, 2026","April 04, 2026",CovidHub-ensemble
Alabama,0,NA,NA,NA,0.00154959373165384,0.00248080667572202,0.00402392403182972,NA,NA,NA,0.0015,0.0025,0.004,wk inc covid prop ed visits,prop_ed,2026-04-04,2026-04-04,2026-04-01,"April 04, 2026","April 01, 2026","April 04, 2026",CovidHub-ensemble
Alabama,1,NA,NA,NA,0.00121224482870202,0.00234771499159347,0.00465167428607218,NA,NA,NA,0.0012,0.0023,0.0047,wk inc covid prop ed visits,prop_ed,2026-04-11,2026-04-04,2026-04-01,"April 11, 2026","April 01, 2026","April 04, 2026",CovidHub-ensemble
Alabama,2,NA,NA,NA,0.00106045618430064,0.00219772634018633,0.00468690416774598,NA,NA,NA,0.0011,0.0022,0.0047,wk inc covid prop ed visits,prop_ed,2026-04-18,2026-04-04,2026-04-01,"April 18, 2026","April 01, 2026","April 04, 2026",CovidHub-ensemble
Alaska,0,0.2208316290292573,0.8157075471225264,1.686077635444724,1.5716829952804174,5.8054803407012034,12,0.22,0.82,1.69,2,6,10,wk inc covid hosp,hosp,2026-04-04,2026-04-04,2026-04-01,"April 04, 2026","April 01, 2026","April 04, 2026",CovidHub-ensemble
