location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,quantile_0.025,quantile_0.10,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.90,quantile_0.975,quantile_0.025_rounded,quantile_0.10_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.90_rounded,quantile_0.975_rounded,designated_model,ensemble_of_hub_models,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2026-08-29,2026-08-29,CEPH-Rtrend_covid,1955,2187,2441,2762,3123,3469,3870,2000,2200,2400,2800,3100,3500,3900,TRUE,FALSE,CEPH Lab at Indiana University,2026-08-26,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2026-08-29,2026-09-05,CEPH-Rtrend_covid,1602,1951,2372,2954,3664,4420,5340,1600,2000,2400,3000,3700,4400,5300,TRUE,FALSE,CEPH Lab at Indiana University,2026-08-26,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2026-08-29,2026-09-12,CEPH-Rtrend_covid,1286,1696,2224,3012,4049,5218,6686,1300,1700,2200,3000,4000,5200,6700,TRUE,FALSE,CEPH Lab at Indiana University,2026-08-26,Rtrend COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-08-29,2026-08-29,CFA_Pyrenew-Pyrenew_E_COVID,0.0060096569459568904,0.006175322909057279,0.006343200619438768,0.006512704246951304,0.006686020346680772,0.00685259066951999,0.007074457986835505,0.006,0.0062,0.0063,0.0065,0.0067,0.0069,0.0071,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-26,Pyrenew_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-08-29,2026-09-05,CFA_Pyrenew-Pyrenew_E_COVID,0.006415725501943318,0.007080879079401411,0.007594977400008127,0.008211538582761885,0.008839584578023151,0.009522771658711585,0.010288657114039559,0.0064,0.0071,0.0076,0.0082,0.0088,0.0095,0.01,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-26,Pyrenew_ED_Visits_COVID
United States,US,2,wk inc covid prop ed visits,prop_ed,2026-08-29,2026-09-12,CFA_Pyrenew-Pyrenew_E_COVID,0.006274177180026962,0.007630740660261824,0.00868777081886746,0.009901493722505504,0.011432150346819553,0.012995657622925772,0.015273230670804187,0.0063,0.0076,0.0087,0.0099,0.011,0.013,0.015,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-26,Pyrenew_ED_Visits_COVID
United States,US,2,wk inc covid hosp,hosp,2026-08-29,2026-09-12,CFA_Pyrenew-Pyrenew_HE_COVID,4105.85,4581.5999999999995,5091,5661,6389,7177.2,8195.074999999999,4100,4600,5100,5700,6400,7200,8200,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-26,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-08-29,2026-08-29,CFA_Pyrenew-Pyrenew_HE_COVID,0.005893644237456402,0.006069805326253846,0.0062176764867255385,0.006398430272325532,0.006577624046592776,0.006754915771625068,0.006962080514592045,0.0059,0.0061,0.0062,0.0064,0.0066,0.0068,0.007,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-26,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-08-29,2026-09-05,CFA_Pyrenew-Pyrenew_HE_COVID,0.006031392607724407,0.006564668138798399,0.007046558592902588,0.0075912731054100825,0.008215369850562957,0.008818044010323428,0.009680124384137113,0.006,0.0066,0.007,0.0076,0.0082,0.0088,0.0097,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-26,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,2,wk inc covid prop ed visits,prop_ed,2026-08-29,2026-09-12,CFA_Pyrenew-Pyrenew_HE_COVID,0.005723978963078209,0.006620005062755351,0.007457249114392048,0.008443937466784374,0.00974833365139878,0.01105843869903424,0.012861912118876256,0.0057,0.0066,0.0075,0.0084,0.0097,0.011,0.013,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-08-26,Pyrenew_Hospital_Admissions_ED_Visits_COVID
